index,non-parasite output,parasite output,label
0,1.4441638e-12,1.0,1
1,5.2625384e-16,1.0,1
2,4.3405905e-14,1.0,1
3,9.205219e-11,1.0,1
4,3.340661e-16,1.0,1
5,5.811557e-17,1.0,1
6,2.4089956e-18,1.0,1
7,4.8148302e-23,1.0,1
8,3.845622e-15,1.0,1
9,1.6606727e-12,1.0,1
10,3.0491824e-12,1.0,1
11,1.6220993e-18,1.0,1
12,2.1473323e-20,1.0,1
13,5.301437e-12,1.0,1
14,2.952985e-16,1.0,1
15,4.374084e-14,1.0,1
16,1.47496e-13,1.0,1
17,3.693788e-14,1.0,1
18,2.6887743e-09,1.0,1
19,1.52693e-16,1.0,1
20,1.832717e-17,1.0,1
21,3.7093567e-10,1.0,1
22,4.578474e-12,1.0,1
23,4.400416e-11,1.0,1
24,6.949854e-15,1.0,1
25,3.3318404e-09,1.0,1
26,4.6025467e-18,1.0,1
27,1.2385996e-08,1.0,1
28,1.1031079e-18,1.0,1
29,7.770385e-15,1.0,1
30,1.4579694e-15,1.0,1
31,2.8047218e-13,1.0,1
32,2.972585e-11,1.0,1
33,7.207265e-16,1.0,1
34,2.1220152e-09,1.0,1
35,2.8659314e-10,1.0,1
36,1.0534174e-16,1.0,1
37,1.638911e-11,1.0,1
38,3.8506093e-13,1.0,1
39,2.0798415e-16,1.0,1
40,1.8785478e-11,1.0,1
41,9.7307e-11,1.0,1
42,2.441247e-16,1.0,1
43,4.2404713e-17,1.0,1
44,1.5563462e-15,1.0,1
45,2.425341e-13,1.0,1
46,2.7858063e-09,1.0,1
47,5.519807e-16,1.0,1
48,3.6113565e-13,1.0,1
49,1.6855225e-15,1.0,1
50,6.4851104e-11,1.0,1
51,1.10756924e-10,1.0,1
52,4.8410342e-17,1.0,1
53,4.32013e-11,1.0,1
54,2.042826e-12,1.0,1
55,1.4294138e-17,1.0,1
56,1.5737837e-13,1.0,1
57,4.2251502e-16,1.0,1
58,2.558388e-14,1.0,1
59,1.4746934e-16,1.0,1
60,2.6400314e-15,1.0,1
61,3.4268218e-13,1.0,1
62,7.5546835e-14,1.0,1
63,2.803088e-19,1.0,1
64,1.5206232e-16,1.0,1
65,6.288082e-10,1.0,1
66,1.6922228e-15,1.0,1
67,8.816754e-17,1.0,1
68,3.773668e-10,1.0,1
69,1.7757735e-07,0.9999999,1
70,1.7804306e-14,1.0,1
71,3.2514485e-14,1.0,1
72,2.714926e-10,1.0,1
73,8.7141866e-13,1.0,1
74,4.9042733e-15,1.0,1
75,3.6628292e-17,1.0,1
76,1.4756607e-13,1.0,1
77,1.9927501e-12,1.0,1
78,6.7536164e-11,1.0,1
79,6.014564e-11,1.0,1
80,8.335819e-11,1.0,1
81,2.7952983e-15,1.0,1
82,4.2606148e-11,1.0,1
83,4.278118e-13,1.0,1
84,1.4115777e-14,1.0,1
85,2.6302421e-14,1.0,1
86,1.4491982e-14,1.0,1
87,2.1332036e-09,1.0,1
88,6.5178775e-17,1.0,1
89,1.519087e-12,1.0,1
90,2.1405192e-13,1.0,1
91,6.919621e-14,1.0,1
92,6.620028e-13,1.0,1
93,9.068574e-15,1.0,1
94,2.5602296e-13,1.0,1
95,3.943702e-15,1.0,1
96,2.4322964e-15,1.0,1
97,5.837492e-15,1.0,1
98,5.635176e-12,1.0,1
99,9.564967e-13,1.0,1
100,5.7155083e-11,1.0,1
101,2.2098694e-17,1.0,1
102,1.4369399e-20,1.0,1
103,7.086688e-14,1.0,1
104,1.8967161e-10,1.0,1
105,4.8830096e-08,1.0,1
106,7.8401625e-11,1.0,1
107,6.608412e-16,1.0,1
108,1.0990957e-12,1.0,1
109,1.2277025e-12,1.0,1
110,3.3387678e-13,1.0,1
111,3.1806148e-14,1.0,1
112,2.873282e-10,1.0,1
113,9.936602e-14,1.0,1
114,7.2913674e-14,1.0,1
115,1.872721e-10,1.0,1
116,1.8776512e-12,1.0,1
117,4.3098195e-14,1.0,1
118,3.00376e-07,0.99999964,1
119,4.2824637e-12,1.0,1
120,5.7924104e-10,1.0,1
121,3.5879584e-09,1.0,1
122,1.1584698e-12,1.0,1
123,4.0901024e-10,1.0,1
124,4.5292453e-15,1.0,1
125,1.1979773e-13,1.0,1
126,1.6777229e-14,1.0,1
127,3.6470206e-12,1.0,1
128,7.1298225e-16,1.0,1
129,4.7189e-13,1.0,1
130,7.13048e-11,1.0,1
131,1.8669692e-09,1.0,1
132,1.002412e-11,1.0,1
133,4.078215e-10,1.0,1
134,2.3275492e-12,1.0,1
135,1.7485048e-16,1.0,1
136,3.5389e-13,1.0,1
137,5.773251e-14,1.0,1
138,4.617427e-13,1.0,1
139,2.489392e-12,1.0,1
140,1.393869e-10,1.0,1
141,1.3485392e-09,1.0,1
142,1.1624512e-13,1.0,1
143,2.5868318e-11,1.0,1
144,2.4177028e-12,1.0,1
145,7.51257e-17,1.0,1
146,5.2738554e-15,1.0,1
147,1.0039428e-11,1.0,1
148,8.404958e-16,1.0,1
149,3.420859e-17,1.0,1
150,3.6116664e-13,1.0,1
151,1.4171766e-16,1.0,1
152,2.9468537e-15,1.0,1
153,9.964959e-10,1.0,1
154,1.0453959e-11,1.0,1
155,1.757537e-11,1.0,1
156,3.996382e-11,1.0,1
157,1.6378728e-12,1.0,1
158,4.6759324e-12,1.0,1
159,2.837234e-11,1.0,1
160,2.4221835e-13,1.0,1
161,2.6416978e-12,1.0,1
162,3.1531554e-14,1.0,1
163,9.173324e-10,1.0,1
164,7.3350553e-10,1.0,1
165,8.478813e-13,1.0,1
166,1.4146489e-16,1.0,1
167,1.2287314e-11,1.0,1
168,8.170283e-12,1.0,1
169,3.430247e-14,1.0,1
170,2.4181615e-14,1.0,1
171,2.0927477e-11,1.0,1
172,3.730407e-14,1.0,1
173,6.886941e-14,1.0,1
174,3.762684e-11,1.0,1
175,3.8432745e-08,1.0,1
176,1.3564444e-15,1.0,1
