index,non-parasite output,parasite output,label
0,1.0,1.3753046e-09,0
1,1.0,7.569761e-09,0
2,0.9999999,1.2930502e-07,0
3,0.9999999,7.791783e-08,0
4,1.0,2.8529493e-11,0
5,0.99999964,3.60533e-07,0
6,0.99999166,8.379416e-06,0
7,1.0,1.6223432e-11,0
8,1.0,4.634123e-08,0
9,1.0,1.1843425e-11,0
10,1.0,1.6646814e-08,0
11,1.0,8.6542223e-10,0
12,1.0,3.6549859e-09,0
13,1.0,9.771478e-09,0
14,1.0,1.4590693e-10,0
15,1.0,7.544612e-12,0
16,1.0,9.674562e-09,0
17,1.0,3.751741e-11,0
18,1.0,9.781137e-09,0
19,1.0,8.80723e-12,0
20,1.0,4.3697945e-08,0
21,1.0,3.053239e-08,0
22,1.0,4.343962e-10,0
23,1.0,3.0163183e-10,0
24,1.0,2.8967369e-12,0
25,0.99999607,3.9312376e-06,0
26,1.0,5.77472e-09,0
27,1.0,1.1254273e-10,0
28,1.0,1.1356618e-09,0
29,0.99999976,2.0196974e-07,0
30,0.9999943,5.6884314e-06,0
31,1.0,6.4371997e-10,0
32,1.0,1.2042885e-10,0
33,0.9999999,6.0610056e-08,0
34,1.0,3.8467114e-13,0
35,1.0,4.0006265e-09,0
36,1.0,4.4189934e-12,0
37,1.0,5.307108e-10,0
38,1.0,1.7172284e-09,0
39,1.0,1.2849596e-10,0
40,1.0,6.5746657e-09,0
41,1.0,5.5369914e-10,0
42,1.0,9.09378e-10,0
43,1.0,4.867165e-08,0
44,1.0,1.8172476e-10,0
45,1.0,2.6765452e-09,0
46,1.0,5.4156946e-10,0
47,1.0,1.3728352e-10,0
48,1.0,3.8840856e-08,0
49,0.9999999,1.5150137e-07,0
50,1.0,3.684097e-08,0
51,1.0,7.62452e-09,0
52,1.0,3.607997e-09,0
53,0.99999547,4.586495e-06,0
54,0.9999894,1.05570725e-05,0
55,1.0,9.580137e-10,0
56,0.9999969,3.12092e-06,0
57,0.99999964,3.958586e-07,0
58,0.9999999,1.1244998e-07,0
59,0.9999999,1.3324863e-07,0
60,0.99999976,2.3721081e-07,0
61,0.99999905,9.567943e-07,0
62,1.0,1.7598198e-09,0
63,0.99999976,2.1819358e-07,0
64,0.99999976,2.197728e-07,0
65,0.99999714,2.8129316e-06,0
66,0.999998,1.9771576e-06,0
67,0.9999988,1.1471088e-06,0
68,1.0,1.2074131e-08,0
69,1.0,2.6346283e-08,0
70,0.99999964,3.4622164e-07,0
71,1.0,1.8497799e-11,0
72,1.0,5.01963e-10,0
73,0.99999964,3.72095e-07,0
74,1.0,9.922366e-09,0
75,1.0,7.8084234e-10,0
76,0.99999964,3.1024157e-07,0
77,1.0,4.9746456e-09,0
78,1.0,9.454557e-10,0
79,1.0,3.4942535e-11,0
80,1.0,7.525232e-10,0
81,1.0,2.4332376e-12,0
82,1.0,3.2687503e-12,0
83,1.0,6.835696e-13,0
84,0.9999999,6.8646926e-08,0
85,1.0,5.208427e-08,0
86,0.9999975,2.5173108e-06,0
87,0.9999999,1.2886946e-07,0
88,1.0,2.9697245e-10,0
89,0.99999595,4.0990362e-06,0
90,0.9999999,1.6424222e-07,0
91,1.0,4.1171996e-10,0
92,1.0,4.941702e-11,0
93,1.0,6.513182e-09,0
94,1.0,5.1074084e-10,0
95,0.9999999,1.7527535e-07,0
96,0.99999976,2.5254187e-07,0
97,1.0,2.7919791e-11,0
98,1.0,2.1999313e-10,0
99,1.0,7.2739113e-09,0
100,1.0,1.3242721e-11,0
101,0.99999917,8.593254e-07,0
102,0.99999964,3.2475975e-07,0
103,1.0,1.6809375e-08,0
104,1.0,6.968375e-10,0
105,1.0,2.4470431e-11,0
106,1.0,4.7289217e-12,0
