index,non-parasite output,parasite output,label
0,1.0,1.4046292e-11,0
1,0.9999846,1.5372012e-05,0
2,0.99999344,6.542808e-06,0
3,0.9997174,0.0002826117,0
4,0.9999999,8.749883e-08,0
5,1.0,2.6914307e-10,0
6,0.9999993,7.027061e-07,0
7,0.99996305,3.690338e-05,0
8,0.999997,2.9961152e-06,0
9,0.9990243,0.00097574317,0
10,1.0,4.4707917e-09,0
11,0.9999949,5.072506e-06,0
12,1.0,1.8197017e-08,0
13,1.0,4.0668795e-11,0
14,1.0,7.101668e-10,0
15,1.0,2.4306657e-10,0
16,0.9999987,1.3363057e-06,0
17,1.0,3.4291892e-09,0
18,1.0,3.1495102e-12,0
19,0.9999999,1.1564968e-07,0
20,1.0,8.7695234e-10,0
21,1.0,8.7131197e-10,0
22,0.9999982,1.8359219e-06,0
23,1.0,2.813945e-12,0
24,1.0,4.0071463e-10,0
25,0.9999887,1.1286806e-05,0
26,0.9999994,5.752614e-07,0
27,1.0,5.947704e-14,0
28,1.0,1.3418682e-09,0
29,1.0,1.05295815e-11,0
30,1.0,1.8298525e-10,0
31,0.9999999,7.813928e-08,0
32,1.0,3.2279106e-11,0
33,1.0,1.1083263e-09,0
34,1.0,3.503134e-08,0
35,0.9999994,5.92892e-07,0
36,1.0,6.7436764e-12,0
37,0.9960955,0.0039045787,0
38,1.0,4.262117e-08,0
39,1.0,2.775889e-08,0
40,1.0,6.1740186e-09,0
41,1.0,8.299912e-12,0
42,1.0,4.685559e-11,0
43,1.0,2.1564703e-11,0
44,1.0,3.729191e-10,0
45,1.0,6.625823e-10,0
46,1.0,1.5710127e-09,0
47,1.0,1.6597316e-09,0
48,1.0,3.1430535e-08,0
49,0.9999987,1.3008961e-06,0
50,1.0,3.5752333e-08,0
51,1.0,2.2435007e-10,0
52,1.0,2.5439048e-12,0
53,1.0,2.8961669e-09,0
54,0.9999976,2.3825241e-06,0
55,1.0,1.9218338e-12,0
56,0.99999976,2.776859e-07,0
57,0.99999917,8.896041e-07,0
58,1.0,2.205011e-09,0
59,1.0,1.8385585e-08,0
60,1.0,7.0753e-11,0
61,1.0,1.6784371e-10,0
62,1.0,3.4574062e-11,0
63,1.0,2.0897879e-11,0
64,1.0,1.0220302e-12,0
65,0.99967575,0.00032420643,0
66,1.0,1.0829462e-11,0
67,1.0,1.5334374e-10,0
68,1.0,3.392606e-10,0
69,1.0,2.2450557e-09,0
70,1.0,2.0438735e-09,0
71,0.99999833,1.6546393e-06,0
72,0.99998903,1.093926e-05,0
73,0.9999995,4.6395624e-07,0
74,0.9999999,1.3896954e-07,0
75,1.0,2.7095215e-09,0
76,0.9999999,7.992642e-08,0
77,0.9999999,8.4025075e-08,0
78,1.0,3.7867307e-11,0
79,1.0,8.91742e-09,0
80,0.99999964,3.9293909e-07,0
81,1.0,3.319645e-11,0
82,1.0,3.9208032e-08,0
83,1.0,1.6481604e-09,0
84,1.0,2.9695604e-10,0
85,0.99999905,1.0046398e-06,0
86,0.99999094,9.098019e-06,0
87,1.0,5.2234563e-09,0
88,0.9971789,0.0028210806,0
89,0.9998455,0.0001544974,0
90,1.0,2.207478e-12,0
91,1.0,4.9675646e-12,0
92,1.0,2.8733751e-10,0
93,0.9975164,0.0024836243,0
94,0.24339525,0.75660473,0
95,1.0,1.0129266e-12,0
96,1.0,3.1800493e-11,0
97,0.99999833,1.6182144e-06,0
98,0.99999976,2.3329969e-07,0
99,1.0,2.5198604e-12,0
100,1.0,1.7427426e-11,0
101,1.0,2.3265892e-13,0
102,1.0,1.9135913e-14,0
103,1.0,6.0920345e-11,0
104,1.0,1.6360689e-11,0
105,0.99999416,5.8883315e-06,0
106,1.0,1.2735498e-11,0
107,1.0,3.709662e-13,0
108,1.0,1.1287103e-13,0
109,1.0,3.7899173e-11,0
110,1.0,1.0272698e-12,0
111,1.0,4.452629e-10,0
112,1.0,5.6358234e-11,0
113,1.0,3.2214983e-13,0
114,1.0,1.492958e-10,0
115,1.0,3.7164204e-12,0
116,1.0,5.3329396e-11,0
117,1.0,1.6110252e-09,0
118,1.0,5.850788e-12,0
119,1.0,4.66462e-08,0
120,1.0,1.5326339e-13,0
121,1.0,6.2298757e-09,0
122,0.9999975,2.5275876e-06,0
123,0.99999976,1.8188312e-07,0
124,1.0,4.8771567e-11,0
125,0.9999987,1.2785601e-06,0
126,1.0,6.402784e-12,0
127,0.9999981,1.8867612e-06,0
128,1.0,3.0789864e-13,0
129,1.0,3.5289632e-10,0
130,1.0,5.5166975e-14,0
131,1.0,8.664946e-09,0
132,1.0,1.7730783e-12,0
133,1.0,2.748785e-13,0
134,1.0,1.5675518e-10,0
135,1.0,7.415105e-11,0
136,1.0,9.104661e-14,0
137,1.0,4.903287e-13,0
138,1.0,1.2409564e-13,0
139,1.0,1.204517e-12,0
140,1.0,1.140448e-13,0
141,0.9999707,2.938162e-05,0
142,1.0,3.084868e-11,0
143,1.0,7.5154667e-13,0
144,1.0,1.0262501e-11,0
145,1.0,7.537777e-09,0
146,1.0,6.1070486e-09,0
147,0.9999994,5.488534e-07,0
148,0.9999951,4.8612364e-06,0
149,0.9999994,6.304324e-07,0
150,0.99999964,3.877994e-07,0
151,0.99996245,3.752184e-05,0
152,0.99999964,3.2656823e-07,0
153,0.9999989,1.0217185e-06,0
154,1.0,4.15802e-08,0
155,0.9999503,4.9675913e-05,0
156,1.0,1.7733644e-10,0
157,0.99999964,3.928244e-07,0
158,0.99999297,6.991545e-06,0
159,0.99999404,5.9918893e-06,0
160,1.0,1.130732e-12,0
161,0.99999976,1.8907082e-07,0
162,1.0,8.482057e-11,0
163,1.0,5.9150356e-09,0
164,1.0,1.732215e-10,0
165,0.99997926,2.0750707e-05,0
166,0.9999999,7.786969e-08,0
167,1.0,9.499937e-12,0
168,1.0,3.4231e-12,0
169,1.0,1.9914213e-11,0
170,1.0,9.6120896e-11,0
171,0.9999999,1.11859784e-07,0
172,1.0,5.462683e-09,0
173,1.0,3.7208608e-08,0
174,0.9999958,4.1135327e-06,0
175,0.99999857,1.4602576e-06,0
176,0.99999905,9.549384e-07,0
177,1.0,1.4467775e-08,0
178,1.0,1.3853498e-11,0
179,0.9999999,1.1678003e-07,0
180,1.0,2.6936427e-11,0
181,1.0,7.738376e-12,0
182,0.9999999,9.614138e-08,0
183,0.9999931,6.859234e-06,0
184,0.999985,1.497054e-05,0
185,1.0,6.8700863e-09,0
186,1.0,7.5236384e-10,0
187,0.99999857,1.4765452e-06,0
188,1.0,1.5649393e-12,0
189,1.0,3.9322448e-09,0
190,1.0,3.4799437e-09,0
191,1.0,2.6680406e-11,0
192,1.0,3.840716e-12,0
193,1.0,3.2873626e-09,0
194,1.0,8.813688e-11,0
195,1.0,6.954323e-11,0
196,1.0,1.1595796e-12,0
197,1.0,8.5821916e-10,0
198,0.9999074,9.261593e-05,0
199,1.0,2.8045949e-12,0
200,0.9999548,4.5222096e-05,0
201,1.0,9.609848e-12,0
202,1.0,1.6487146e-08,0
203,1.0,4.0235917e-09,0
204,0.99999976,1.8747498e-07,0
205,0.9999989,1.107414e-06,0
206,1.0,4.6457272e-11,0
207,1.0,5.0127444e-09,0
208,1.0,7.507802e-09,0
209,1.0,1.8383262e-09,0
210,0.9999951,4.832278e-06,0
211,1.0,3.7565798e-08,0
212,1.0,3.2200798e-09,0
213,1.0,8.794284e-09,0
214,0.99997425,2.5790581e-05,0
215,1.0,1.2220839e-08,0
216,1.0,2.4552832e-13,0
217,1.0,3.9238123e-11,0
218,1.0,2.6830007e-09,0
219,0.99999976,2.9615492e-07,0
220,1.0,4.677449e-12,0
221,1.0,1.648977e-10,0
222,1.0,5.105149e-10,0
223,1.0,1.0690677e-09,0
224,0.99999917,7.817505e-07,0
225,1.0,6.3299826e-10,0
226,1.0,6.1429984e-12,0
227,1.0,6.4297484e-11,0
228,0.99999964,3.438656e-07,0
229,1.0,1.6709498e-10,0
230,1.0,1.146091e-10,0
231,0.9999999,7.291486e-08,0
232,1.0,1.3560771e-11,0
233,1.0,1.6764277e-10,0
234,1.0,4.3946982e-10,0
235,1.0,2.3172558e-11,0
236,1.0,1.1132039e-08,0
237,1.0,5.565016e-14,0
238,0.9999963,3.7177188e-06,0
239,1.0,3.668726e-12,0
240,0.9999993,6.690207e-07,0
