index,non-parasite output,parasite output,label
0,2.1416271e-08,1.0,1
1,3.4744794e-16,1.0,1
2,9.481888e-12,1.0,1
3,4.6698742e-11,1.0,1
4,2.3947324e-12,1.0,1
5,3.2940408e-09,1.0,1
6,1.3482312e-08,1.0,1
7,4.181691e-11,1.0,1
8,1.9600193e-08,1.0,1
9,1.3594827e-11,1.0,1
10,5.7873574e-16,1.0,1
11,1.8500916e-06,0.9999981,1
12,6.569479e-08,0.9999999,1
13,1.0147326e-12,1.0,1
14,6.814354e-11,1.0,1
15,2.501118e-09,1.0,1
16,5.336911e-10,1.0,1
17,7.1907043e-06,0.99999285,1
18,3.829354e-06,0.9999962,1
19,1.0605545e-08,1.0,1
20,5.5811206e-10,1.0,1
21,1.7535835e-10,1.0,1
22,1.6701858e-09,1.0,1
23,2.8235678e-09,1.0,1
24,1.5572907e-07,0.9999999,1
25,1.1529876e-06,0.9999988,1
26,7.79153e-05,0.99992204,1
27,5.8226044e-05,0.9999418,1
28,1.2350132e-09,1.0,1
29,2.4497262e-09,1.0,1
30,1.7544559e-07,0.9999999,1
31,5.5056164e-11,1.0,1
32,5.864711e-19,1.0,1
33,8.561633e-08,0.9999999,1
34,5.0301754e-09,1.0,1
35,3.408227e-08,1.0,1
36,2.5244332e-10,1.0,1
37,3.243833e-08,1.0,1
38,4.1828896e-10,1.0,1
39,1.2349378e-09,1.0,1
40,4.1374255e-09,1.0,1
41,2.2382591e-07,0.99999976,1
42,1.2767261e-11,1.0,1
43,7.5830627e-11,1.0,1
44,2.9807256e-07,0.99999964,1
45,6.6234925e-08,0.9999999,1
46,1.8498003e-08,1.0,1
47,3.9665757e-11,1.0,1
48,2.091793e-08,1.0,1
49,0.0012288605,0.99877113,1
50,3.523201e-13,1.0,1
51,4.385795e-06,0.9999956,1
52,0.0012288217,0.99877113,1
53,2.3309046e-11,1.0,1
54,0.039782032,0.96021795,1
55,3.3686083e-09,1.0,1
56,9.71921e-07,0.99999905,1
57,0.0072798915,0.9927201,1
58,1.1466884e-07,0.9999999,1
59,6.37955e-12,1.0,1
60,1.4198285e-08,1.0,1
61,1.3215697e-07,0.9999999,1
62,3.786328e-05,0.9999621,1
63,1.3305524e-09,1.0,1
64,0.4953206,0.5046794,1
65,1.04911706e-07,0.9999999,1
66,6.4591966e-08,0.9999999,1
67,1.372694e-05,0.9999863,1
68,6.1884202e-06,0.9999938,1
69,1.7170139e-07,0.9999999,1
70,1.419001e-05,0.9999858,1
71,3.1006198e-10,1.0,1
72,5.5944402e-11,1.0,1
73,7.233919e-06,0.9999927,1
74,3.6889256e-09,1.0,1
75,2.0923012e-06,0.99999785,1
76,9.718115e-13,1.0,1
77,2.3588797e-07,0.99999976,1
78,2.9260516e-08,1.0,1
79,4.7023776e-09,1.0,1
80,1.0937152e-08,1.0,1
81,4.256357e-08,1.0,1
82,7.4071402e-09,1.0,1
83,7.82374e-07,0.99999917,1
84,3.2667234e-05,0.99996734,1
85,0.00017169837,0.9998282,1
86,4.5472137e-07,0.9999995,1
87,1.2543272e-10,1.0,1
88,4.658477e-06,0.99999535,1
89,1.808429e-08,1.0,1
90,9.290113e-07,0.99999905,1
91,1.1457619e-06,0.9999988,1
92,9.0995115e-07,0.99999905,1
93,0.00185078,0.9981493,1
94,1.4355611e-10,1.0,1
95,7.421455e-12,1.0,1
96,2.3273148e-07,0.99999976,1
97,1.1358027e-09,1.0,1
98,7.050889e-11,1.0,1
99,1.3345255e-12,1.0,1
100,5.8601757e-10,1.0,1
101,0.0052870135,0.994713,1
102,9.382878e-10,1.0,1
103,8.560252e-14,1.0,1
104,3.6374345e-08,1.0,1
105,4.919553e-06,0.9999951,1
106,1.18037e-09,1.0,1
107,2.4251704e-06,0.9999976,1
108,1.2327186e-13,1.0,1
109,4.3210767e-07,0.9999995,1
110,3.285075e-06,0.99999666,1
111,8.103121e-06,0.9999919,1
112,0.00025465144,0.9997453,1
113,8.532664e-06,0.9999914,1
114,4.374889e-05,0.99995625,1
115,0.0007914456,0.9992086,1
116,1.0498353e-06,0.9999989,1
117,1.15279744e-10,1.0,1
118,2.6395082e-06,0.9999974,1
119,3.081294e-10,1.0,1
120,4.0213945e-06,0.99999595,1
121,4.90048e-10,1.0,1
122,2.7787502e-07,0.99999976,1
123,2.4993365e-11,1.0,1
124,1.8521417e-11,1.0,1
125,2.294514e-06,0.99999774,1
126,1.7367181e-05,0.9999826,1
127,2.5904743e-12,1.0,1
128,2.920863e-10,1.0,1
129,0.01112676,0.98887324,1
130,6.7545665e-12,1.0,1
131,4.456049e-08,1.0,1
132,0.00017263905,0.9998274,1
133,2.798835e-06,0.99999726,1
134,1.935642e-14,1.0,1
135,2.8938439e-06,0.99999714,1
136,5.3342313e-11,1.0,1
137,1.3014186e-06,0.9999987,1
138,8.077004e-07,0.99999917,1
139,5.4573825e-09,1.0,1
140,0.00020456561,0.9997955,1
141,0.00012747433,0.99987257,1
142,0.00023953493,0.99976045,1
143,9.442082e-11,1.0,1
144,1.0275134e-07,0.9999999,1
145,0.00014033928,0.9998597,1
146,2.190776e-08,1.0,1
147,3.670214e-05,0.9999633,1
148,1.8836803e-09,1.0,1
149,1.0650867e-09,1.0,1
150,8.579471e-11,1.0,1
151,1.6325559e-05,0.99998367,1
152,6.695575e-07,0.9999993,1
153,2.2461013e-06,0.99999774,1
154,6.45376e-05,0.9999355,1
155,1.9728857e-05,0.9999802,1
156,3.2551878e-08,1.0,1
157,7.678447e-07,0.9999993,1
158,0.079970434,0.9200296,1
159,4.6147015e-06,0.99999535,1
160,2.4343617e-05,0.9999757,1
161,7.5825615e-06,0.9999924,1
162,0.1337498,0.8662503,1
163,0.0015325601,0.9984674,1
164,0.00033313045,0.9996669,1
165,7.547012e-09,1.0,1
166,6.501505e-07,0.9999994,1
167,0.00023015184,0.99976987,1
168,0.00047939477,0.99952066,1
169,1.11487885e-11,1.0,1
170,5.1334753e-10,1.0,1
171,3.547375e-09,1.0,1
172,1.3463616e-10,1.0,1
173,7.015082e-07,0.9999993,1
174,7.433418e-07,0.9999993,1
175,1.9354919e-05,0.9999807,1
176,4.126017e-07,0.99999964,1
177,2.5806346e-06,0.9999974,1
178,0.15368202,0.84631795,1
179,3.2560492e-05,0.99996746,1
180,1.5168e-08,1.0,1
181,2.784028e-08,1.0,1
182,0.0045037298,0.9954963,1
183,4.33936e-09,1.0,1
184,0.061357275,0.93864274,1
185,1.3068595e-09,1.0,1
186,5.743921e-08,1.0,1
187,1.0253947e-08,1.0,1
188,1.7310368e-09,1.0,1
189,1.3903849e-06,0.99999857,1
190,4.098781e-09,1.0,1
191,5.858762e-07,0.9999994,1
192,8.544389e-08,0.9999999,1
193,0.00017855932,0.9998215,1
194,2.189213e-06,0.99999785,1
195,7.1475346e-09,1.0,1
196,6.436605e-05,0.9999356,1
197,3.32091e-08,1.0,1
198,0.00031676228,0.99968326,1
199,1.517755e-08,1.0,1
200,1.3122222e-09,1.0,1
201,1.3463629e-12,1.0,1
202,1.929634e-06,0.9999981,1
203,2.428393e-05,0.9999757,1
204,2.0793896e-12,1.0,1
205,7.753271e-05,0.9999225,1
206,1.5994318e-07,0.9999999,1
207,2.7543207e-10,1.0,1
208,3.7596296e-10,1.0,1
209,1.3192219e-08,1.0,1
210,1.4237926e-09,1.0,1
211,7.930276e-12,1.0,1
212,2.3596616e-05,0.9999764,1
213,3.9124993e-06,0.99999607,1
214,2.5047026e-05,0.99997497,1
215,0.00014559882,0.9998543,1
216,1.485891e-06,0.99999857,1
217,6.4839596e-06,0.99999356,1
218,4.7995616e-09,1.0,1
219,1.2274331e-06,0.9999988,1
220,2.4131284e-08,1.0,1
221,8.693106e-07,0.99999917,1
222,8.1073015e-09,1.0,1
223,1.09796055e-07,0.9999999,1
224,0.00027230618,0.99972767,1
225,4.8121956e-07,0.9999995,1
226,0.023727423,0.9762725,1
227,5.960075e-09,1.0,1
228,2.2883116e-11,1.0,1
229,8.4513136e-05,0.9999155,1
230,0.000443142,0.99955684,1
231,3.2609364e-07,0.99999964,1
232,1.0274703e-11,1.0,1
233,7.3949747e-07,0.9999993,1
234,2.0419773e-05,0.9999796,1
235,4.5623563e-07,0.9999995,1
236,6.8596144e-08,0.9999999,1
237,3.3826205e-07,0.99999964,1
238,8.960573e-07,0.99999905,1
239,3.6173347e-05,0.9999639,1
240,1.0218062e-08,1.0,1
241,2.5574188e-06,0.9999975,1
242,0.0010474928,0.9989525,1
243,5.1617716e-10,1.0,1
244,7.822575e-09,1.0,1
245,1.07777005e-07,0.9999999,1
246,0.0012620589,0.998738,1
247,1.9097854e-09,1.0,1
248,0.91880715,0.08119285,1
249,6.249242e-05,0.99993753,1
250,1.2874535e-08,1.0,1
251,0.00017286537,0.9998272,1
252,6.10612e-07,0.9999994,1
253,6.1086246e-07,0.9999994,1
254,5.3710827e-09,1.0,1
255,1.2495003e-08,1.0,1
256,0.007615568,0.99238443,1
257,6.9066375e-09,1.0,1
258,1.33317e-11,1.0,1
259,0.67379695,0.32620305,1
260,2.876822e-06,0.99999714,1
261,3.7566593e-07,0.99999964,1
262,4.532701e-08,1.0,1
263,1.7601566e-08,1.0,1
264,0.13373195,0.86626804,1
265,1.3370857e-05,0.99998665,1
266,8.6437385e-12,1.0,1
267,2.8081606e-06,0.99999714,1
268,0.0005882658,0.9994117,1
269,2.5428922e-06,0.9999975,1
270,1.4171684e-06,0.99999857,1
271,0.00020245019,0.9997975,1
272,1.05522e-05,0.9999894,1
273,0.0013189223,0.998681,1
274,4.278692e-07,0.9999995,1
275,5.5611767e-06,0.9999944,1
276,1.4196518e-09,1.0,1
277,0.016831748,0.98316824,1
278,0.0009526491,0.99904734,1
279,1.8608063e-07,0.99999976,1
280,3.887688e-07,0.99999964,1
281,0.0057557207,0.9942443,1
282,6.515098e-07,0.9999994,1
283,3.4294034e-10,1.0,1
284,9.067218e-06,0.99999094,1
285,2.068827e-08,1.0,1
286,5.645741e-08,1.0,1
287,6.785493e-06,0.9999932,1
288,0.004960402,0.99503964,1
289,0.025823437,0.9741765,1
290,2.7386406e-07,0.99999976,1
291,0.00532353,0.9946765,1
292,5.665384e-07,0.9999994,1
293,0.0008053941,0.99919456,1
294,5.5410605e-06,0.9999945,1
295,7.5801925e-09,1.0,1
296,6.467372e-06,0.99999356,1
297,1.2158105e-09,1.0,1
298,0.012523214,0.98747677,1
299,9.77668e-07,0.99999905,1
300,1.6286216e-07,0.9999999,1
301,1.2697161e-05,0.99998724,1
302,3.696386e-08,1.0,1
303,2.994927e-07,0.99999964,1
304,8.3913736e-05,0.9999161,1
305,1.5326896e-06,0.99999845,1
306,6.447128e-10,1.0,1
307,4.9040213e-05,0.999951,1
308,0.0018053425,0.99819463,1
309,3.131033e-07,0.99999964,1
310,6.0750356e-11,1.0,1
311,1.9472908e-07,0.99999976,1
312,6.6523205e-07,0.9999993,1
313,1.3026183e-05,0.999987,1
314,0.00035241662,0.9996476,1
315,3.0378884e-05,0.9999696,1
316,1.8058858e-11,1.0,1
317,0.00018260968,0.99981743,1
318,3.1379983e-07,0.99999964,1
319,0.04660878,0.9533912,1
320,4.3449777e-08,1.0,1
321,0.019617101,0.9803829,1
322,6.149157e-06,0.9999938,1
323,9.7314555e-08,0.9999999,1
324,4.457013e-05,0.9999554,1
325,0.0011175729,0.9988825,1
326,0.004067398,0.99593264,1
327,0.00044071634,0.9995592,1
328,2.0351807e-07,0.99999976,1
329,3.677845e-05,0.99996316,1
330,1.3364558e-09,1.0,1
331,3.9148173e-08,1.0,1
332,1.4782512e-07,0.9999999,1
333,6.343242e-05,0.9999366,1
334,0.002568018,0.99743193,1
335,5.354842e-08,1.0,1
336,9.026282e-05,0.99990976,1
337,0.0055891885,0.9944108,1
338,3.6802484e-07,0.99999964,1
339,4.3696775e-07,0.9999995,1
340,1.9348892e-10,1.0,1
341,2.4535998e-07,0.99999976,1
342,9.196804e-09,1.0,1
343,2.0697712e-07,0.99999976,1
344,7.535508e-08,0.9999999,1
345,5.6967213e-08,1.0,1
346,0.0015062283,0.9984938,1
347,1.6157688e-07,0.9999999,1
348,0.0049545523,0.9950454,1
349,3.003768e-10,1.0,1
350,1.7148563e-08,1.0,1
351,1.4311795e-06,0.99999857,1
352,2.6496315e-07,0.99999976,1
353,4.3231044e-08,1.0,1
354,3.7453303e-06,0.9999963,1
355,0.24423991,0.75576013,1
356,4.4882727e-05,0.99995506,1
357,4.8937705e-05,0.999951,1
358,0.00046209255,0.99953794,1
359,0.33567694,0.6643231,1
360,0.28203604,0.71796393,1
361,1.1066159e-05,0.9999889,1
362,2.371615e-07,0.99999976,1
363,1.097342e-09,1.0,1
364,0.0019842037,0.99801576,1
365,6.3389325e-06,0.9999937,1
366,1.4499759e-09,1.0,1
367,5.954628e-06,0.99999404,1
368,1.4870283e-05,0.9999851,1
369,3.7304616e-07,0.99999964,1
370,6.670494e-05,0.99993324,1
371,3.0090407e-06,0.999997,1
372,0.00079165684,0.9992084,1
373,0.00045240275,0.99954754,1
374,0.0048241145,0.99517584,1
375,6.7021315e-06,0.9999933,1
376,5.879976e-07,0.9999994,1
377,0.001834267,0.9981658,1
378,0.007405636,0.9925944,1
379,0.042514205,0.95748585,1
380,8.1721225e-08,0.9999999,1
381,1.1184648e-05,0.9999888,1
382,9.929941e-06,0.9999901,1
383,9.361328e-08,0.9999999,1
384,3.4353102e-06,0.99999654,1
385,2.6514027e-10,1.0,1
386,4.3165787e-08,1.0,1
387,1.23472255e-05,0.9999876,1
388,6.2503474e-09,1.0,1
389,6.5423315e-08,0.9999999,1
390,2.0441754e-05,0.9999796,1
391,4.618355e-08,1.0,1
392,0.016201131,0.98379886,1
393,1.7747814e-07,0.9999999,1
394,1.8027327e-08,1.0,1
395,0.0015666233,0.9984334,1
396,1.8774838e-07,0.99999976,1
397,3.8072285e-06,0.9999962,1
398,5.0840193e-08,1.0,1
399,1.3714156e-05,0.9999863,1
400,0.0017695179,0.9982305,1
401,7.75594e-05,0.9999224,1
402,6.728305e-05,0.99993277,1
403,0.00030033593,0.9996997,1
404,1.5091236e-05,0.99998486,1
405,0.012101469,0.9878985,1
406,0.0036573363,0.9963426,1
407,0.0009703277,0.99902964,1
408,0.0015626134,0.99843735,1
409,8.372719e-08,0.9999999,1
410,4.8852553e-07,0.9999995,1
411,2.6272176e-06,0.9999974,1
412,0.0046968968,0.99530315,1
413,1.1975297e-07,0.9999999,1
414,1.1235362e-09,1.0,1
415,9.232591e-08,0.9999999,1
416,1.425888e-06,0.99999857,1
417,7.928777e-09,1.0,1
418,1.3116498e-08,1.0,1
