index,non-parasite output,parasite output,label
0,1.4565112e-10,1.0,1
1,3.2663522e-15,1.0,1
2,1.2802582e-13,1.0,1
3,9.667122e-14,1.0,1
4,4.0075202e-14,1.0,1
5,1.2686033e-12,1.0,1
6,1.9028643e-11,1.0,1
7,2.8891941e-08,1.0,1
8,4.773011e-14,1.0,1
9,5.1752426e-12,1.0,1
10,3.029598e-13,1.0,1
11,3.0527703e-10,1.0,1
12,6.7189343e-16,1.0,1
13,4.17476e-10,1.0,1
14,2.2446875e-09,1.0,1
15,1.3654279e-08,1.0,1
16,3.2542434e-12,1.0,1
17,7.698637e-13,1.0,1
18,3.9992775e-12,1.0,1
19,1.5296683e-07,0.9999999,1
20,3.756511e-14,1.0,1
21,2.9043767e-16,1.0,1
22,7.234694e-18,1.0,1
23,2.8505495e-08,1.0,1
24,1.0296745e-09,1.0,1
25,8.899691e-14,1.0,1
26,4.811589e-12,1.0,1
27,1.5454096e-12,1.0,1
28,1.2023973e-10,1.0,1
29,1.04696226e-11,1.0,1
30,1.5286562e-07,0.9999999,1
31,7.354707e-11,1.0,1
32,1.9852852e-11,1.0,1
33,1.1927055e-14,1.0,1
34,1.7542635e-09,1.0,1
35,1.6356813e-08,1.0,1
36,4.5526672e-14,1.0,1
37,3.1088447e-14,1.0,1
38,1.9642229e-11,1.0,1
39,4.99423e-09,1.0,1
40,4.9722613e-14,1.0,1
41,5.2274178e-11,1.0,1
42,8.776475e-12,1.0,1
43,2.4220728e-09,1.0,1
44,1.13841665e-08,1.0,1
45,1.548055e-13,1.0,1
46,6.858617e-09,1.0,1
47,4.0046495e-13,1.0,1
48,5.692262e-10,1.0,1
49,1.8666249e-08,1.0,1
50,7.314229e-09,1.0,1
51,5.7637456e-10,1.0,1
52,9.51204e-10,1.0,1
53,3.4923204e-07,0.99999964,1
54,1.945351e-06,0.9999981,1
55,1.9315285e-08,1.0,1
56,2.6473342e-14,1.0,1
57,2.0353207e-11,1.0,1
58,7.833234e-13,1.0,1
59,7.28851e-12,1.0,1
60,4.2960052e-11,1.0,1
61,3.5532304e-14,1.0,1
62,3.8756748e-10,1.0,1
63,5.813415e-11,1.0,1
64,1.8999802e-12,1.0,1
65,1.58284e-08,1.0,1
66,2.3948505e-09,1.0,1
67,9.063711e-12,1.0,1
68,6.619506e-18,1.0,1
69,1.7599639e-06,0.9999982,1
70,3.2761218e-12,1.0,1
71,2.4281297e-11,1.0,1
72,6.057995e-10,1.0,1
73,2.3196296e-08,1.0,1
74,2.4893493e-08,1.0,1
75,8.1422304e-13,1.0,1
76,1.91278e-07,0.99999976,1
77,2.107206e-12,1.0,1
78,5.769853e-09,1.0,1
79,1.4195927e-12,1.0,1
80,6.0869816e-15,1.0,1
81,4.986572e-11,1.0,1
82,1.5199675e-09,1.0,1
83,6.5524286e-10,1.0,1
84,5.444837e-15,1.0,1
85,0.00012344035,0.9998765,1
86,1.415577e-09,1.0,1
87,1.3725471e-10,1.0,1
88,2.1837759e-15,1.0,1
89,5.9317645e-10,1.0,1
90,1.027909e-08,1.0,1
91,2.873146e-13,1.0,1
92,3.5919396e-11,1.0,1
93,3.8193522e-14,1.0,1
94,1.3156373e-10,1.0,1
95,3.208748e-10,1.0,1
96,2.4452562e-11,1.0,1
97,1.4315322e-08,1.0,1
98,7.92412e-09,1.0,1
99,6.8182385e-06,0.9999932,1
100,3.734131e-10,1.0,1
101,9.522101e-13,1.0,1
102,2.394307e-09,1.0,1
103,3.1990438e-10,1.0,1
104,1.2699221e-13,1.0,1
105,2.2263883e-05,0.9999777,1
106,2.2519325e-11,1.0,1
107,1.1873784e-10,1.0,1
108,9.979373e-07,0.99999905,1
109,2.3550264e-08,1.0,1
110,5.0935896e-08,1.0,1
111,2.0319755e-09,1.0,1
112,3.105862e-11,1.0,1
113,2.2209671e-12,1.0,1
114,3.2084804e-09,1.0,1
115,3.2477776e-15,1.0,1
116,2.6761633e-12,1.0,1
117,1.608501e-13,1.0,1
118,3.8064343e-11,1.0,1
119,4.396276e-13,1.0,1
120,5.3915086e-09,1.0,1
121,8.219774e-11,1.0,1
122,3.149108e-08,1.0,1
123,4.3295198e-10,1.0,1
124,1.2285476e-09,1.0,1
125,2.8869496e-10,1.0,1
126,8.80231e-06,0.9999912,1
127,3.99247e-09,1.0,1
128,1.0025923e-10,1.0,1
129,1.1433757e-06,0.9999988,1
130,3.6946394e-11,1.0,1
131,3.9437793e-14,1.0,1
132,2.2072088e-08,1.0,1
133,1.2629185e-07,0.9999999,1
134,9.080226e-14,1.0,1
135,1.1703452e-08,1.0,1
136,3.1754938e-17,1.0,1
137,4.0723308e-10,1.0,1
138,4.0027327e-13,1.0,1
139,5.321725e-10,1.0,1
140,8.050166e-07,0.99999917,1
141,1.5541422e-11,1.0,1
142,1.0476659e-10,1.0,1
143,1.653898e-09,1.0,1
144,4.3763313e-09,1.0,1
145,3.843873e-09,1.0,1
146,1.9269379e-10,1.0,1
147,1.0436446e-07,0.9999999,1
148,1.5444925e-06,0.99999845,1
149,6.0014285e-12,1.0,1
150,1.3112683e-10,1.0,1
151,1.336571e-08,1.0,1
152,4.3310358e-08,1.0,1
153,1.1040238e-10,1.0,1
154,1.3326343e-10,1.0,1
155,2.6807895e-10,1.0,1
156,5.867516e-09,1.0,1
157,7.7780005e-09,1.0,1
158,1.3073326e-10,1.0,1
159,1.2677332e-11,1.0,1
160,2.7331903e-09,1.0,1
161,2.0082283e-10,1.0,1
162,7.8077295e-07,0.99999917,1
163,7.8235515e-11,1.0,1
164,4.0386983e-10,1.0,1
165,1.6600039e-09,1.0,1
166,4.669703e-07,0.9999995,1
167,1.6748838e-14,1.0,1
168,2.3939338e-08,1.0,1
169,2.4550866e-09,1.0,1
170,5.403984e-05,0.999946,1
171,6.28935e-11,1.0,1
172,5.454604e-09,1.0,1
173,1.1527695e-09,1.0,1
174,7.1653227e-07,0.9999993,1
175,1.2324134e-06,0.9999988,1
176,0.00028854483,0.99971145,1
177,4.0992476e-10,1.0,1
178,6.036791e-11,1.0,1
179,5.4587035e-06,0.9999945,1
180,2.883048e-10,1.0,1
181,1.1589396e-10,1.0,1
182,3.4667037e-11,1.0,1
183,1.1855301e-13,1.0,1
184,7.616173e-10,1.0,1
185,5.5430244e-10,1.0,1
186,1.305034e-06,0.9999987,1
187,8.3318456e-11,1.0,1
188,1.3470771e-08,1.0,1
189,1.7732841e-09,1.0,1
190,3.2977499e-09,1.0,1
191,4.6843485e-09,1.0,1
192,8.7526544e-08,0.9999999,1
193,1.0033753e-09,1.0,1
194,2.983437e-09,1.0,1
195,1.3317704e-10,1.0,1
196,1.4962713e-09,1.0,1
197,4.083208e-08,1.0,1
198,5.306804e-10,1.0,1
199,9.770867e-12,1.0,1
200,3.4005891e-09,1.0,1
201,1.200398e-08,1.0,1
202,3.3824787e-07,0.99999964,1
203,1.9749322e-08,1.0,1
204,6.09496e-08,0.9999999,1
205,1.1250189e-11,1.0,1
206,1.5379599e-10,1.0,1
207,3.509281e-11,1.0,1
208,7.536759e-08,0.9999999,1
209,7.7733535e-14,1.0,1
210,5.3924058e-08,1.0,1
211,3.516759e-11,1.0,1
212,2.2379756e-09,1.0,1
