index,non-parasite output,parasite output,label
0,1.3187796e-15,1.0,1
1,2.3359601e-07,0.99999976,1
2,8.665073e-14,1.0,1
3,3.6778216e-11,1.0,1
4,2.9432533e-11,1.0,1
5,1.2028641e-08,1.0,1
6,1.0440184e-12,1.0,1
7,1.4709498e-11,1.0,1
8,2.0716324e-14,1.0,1
9,1.2464993e-07,0.9999999,1
10,2.355173e-13,1.0,1
11,2.9394456e-10,1.0,1
12,3.0485497e-15,1.0,1
13,1.8216333e-05,0.99998176,1
14,5.444944e-14,1.0,1
15,6.834258e-14,1.0,1
16,0.0022026708,0.99779737,1
17,9.055535e-06,0.99999094,1
18,1.4048227e-05,0.99998593,1
19,4.4685045e-10,1.0,1
20,2.596507e-10,1.0,1
21,1.3414422e-07,0.9999999,1
22,2.500594e-12,1.0,1
23,6.6218625e-08,0.9999999,1
24,2.9831538e-06,0.999997,1
25,1.567661e-08,1.0,1
26,1.7195159e-06,0.99999833,1
27,3.8806618e-13,1.0,1
28,2.8152888e-11,1.0,1
29,5.161434e-11,1.0,1
30,2.7082874e-12,1.0,1
31,4.084357e-10,1.0,1
32,1.6997448e-10,1.0,1
33,5.2234793e-07,0.9999995,1
34,2.5976881e-12,1.0,1
35,2.4650774e-12,1.0,1
36,1.7704174e-10,1.0,1
37,1.2080868e-10,1.0,1
38,3.0924195e-07,0.99999964,1
39,9.739084e-09,1.0,1
40,1.0451347e-11,1.0,1
41,4.745693e-19,1.0,1
42,4.1587814e-08,1.0,1
43,5.116376e-11,1.0,1
44,1.122341e-09,1.0,1
45,3.480513e-10,1.0,1
46,6.146166e-11,1.0,1
47,3.2366813e-06,0.9999968,1
48,3.920201e-06,0.99999607,1
49,2.4993708e-14,1.0,1
50,3.627884e-06,0.9999964,1
51,1.207311e-07,0.9999999,1
52,5.090683e-09,1.0,1
53,1.4818574e-13,1.0,1
54,4.0869383e-09,1.0,1
55,4.935226e-13,1.0,1
56,3.6577055e-09,1.0,1
57,2.9606161e-12,1.0,1
58,1.6247098e-10,1.0,1
59,1.5375017e-11,1.0,1
60,5.0212747e-11,1.0,1
61,8.6103356e-08,0.9999999,1
62,2.1619675e-08,1.0,1
63,7.966509e-08,0.9999999,1
64,2.7056647e-12,1.0,1
65,4.9695647e-08,1.0,1
66,5.904944e-10,1.0,1
67,3.778652e-10,1.0,1
68,3.6767434e-10,1.0,1
69,1.3966714e-10,1.0,1
70,5.647912e-06,0.9999944,1
71,2.1237016e-11,1.0,1
72,6.691736e-05,0.9999331,1
73,0.0009333596,0.99906665,1
74,1.2183582e-07,0.9999999,1
