index,non-parasite output,parasite output,label
0,1.0,2.9765082e-09,0
1,1.0,7.4306833e-10,0
2,1.0,3.7014388e-11,0
3,1.0,1.6172134e-09,0
4,1.0,2.3815527e-10,0
5,1.0,1.4045548e-10,0
6,1.0,6.581986e-11,0
7,0.99999964,3.506825e-07,0
8,1.0,2.2326398e-11,0
9,1.0,3.56097e-11,0
10,1.0,1.8443256e-08,0
11,0.9999999,6.296657e-08,0
12,1.0,7.2304185e-10,0
13,1.0,2.2125355e-09,0
14,0.9999999,1.1939751e-07,0
15,1.0,3.3068828e-09,0
16,1.0,1.4202388e-10,0
17,1.0,5.7699955e-13,0
18,1.0,1.4537032e-09,0
19,1.0,4.0319117e-09,0
20,1.0,6.458152e-11,0
21,1.0,2.4912062e-12,0
22,1.0,4.3095674e-09,0
23,1.0,6.1213434e-10,0
24,1.0,6.59161e-11,0
25,1.0,1.4173445e-12,0
26,1.0,3.0437324e-08,0
27,1.0,3.2656648e-09,0
28,1.0,1.5434124e-12,0
29,1.0,1.0369742e-10,0
30,1.0,1.4270857e-08,0
31,1.0,1.6012693e-11,0
32,1.0,1.2522046e-10,0
33,1.0,5.3344307e-09,0
34,1.0,3.7215597e-10,0
35,1.0,1.9559579e-10,0
36,1.0,1.4081439e-10,0
37,1.0,3.127763e-11,0
38,0.999998,1.9853164e-06,0
39,1.0,3.247244e-08,0
40,1.0,7.2742576e-09,0
41,1.0,5.0656286e-08,0
42,0.9999938,6.2091044e-06,0
43,1.0,2.7964079e-11,0
44,0.99999905,1.0026565e-06,0
45,0.99999917,8.328248e-07,0
46,0.9999974,2.572992e-06,0
47,0.9999975,2.4795745e-06,0
48,1.0,8.010513e-12,0
49,1.0,2.0945388e-09,0
50,1.0,5.0132154e-08,0
51,1.0,6.380697e-11,0
52,0.9999999,7.0369396e-08,0
53,1.0,2.922723e-11,0
54,1.0,9.553422e-10,0
55,1.0,3.3870664e-09,0
56,0.9999999,1.6064762e-07,0
57,1.0,5.770935e-08,0
58,1.0,1.2037816e-09,0
59,0.9999999,1.5961588e-07,0
60,1.0,1.327601e-10,0
61,1.0,4.243686e-12,0
62,1.0,5.6262187e-12,0
63,1.0,1.3887315e-10,0
64,0.9999999,7.583334e-08,0
65,1.0,9.3340395e-14,0
66,1.0,1.895442e-11,0
67,1.0,1.643182e-09,0
68,1.0,3.680876e-14,0
69,0.9999908,9.237706e-06,0
70,1.0,3.8637105e-10,0
71,1.0,9.634841e-13,0
72,1.0,2.1641881e-11,0
73,1.0,5.295886e-13,0
74,1.0,8.9971135e-14,0
75,1.0,6.830815e-15,0
76,1.0,5.414985e-09,0
77,1.0,6.510486e-13,0
78,1.0,1.282684e-15,0
79,1.0,4.747797e-10,0
80,0.9999981,1.8890803e-06,0
81,1.0,2.6799155e-10,0
82,1.0,2.7656122e-14,0
83,1.0,1.1862397e-10,0
84,1.0,8.061962e-10,0
85,1.0,1.1822446e-09,0
86,0.9999999,1.2335406e-07,0
87,1.0,1.481368e-10,0
88,0.9999994,6.102016e-07,0
89,1.0,3.213907e-09,0
90,1.0,2.6387682e-11,0
91,0.99999964,3.150812e-07,0
92,1.0,9.348539e-11,0
93,1.0,2.3901944e-10,0
94,1.0,7.893952e-12,0
95,1.0,1.9108495e-09,0
96,1.0,1.3736142e-12,0
97,1.0,1.9219742e-11,0
98,1.0,3.6705556e-14,0
99,1.0,6.4120723e-12,0
100,1.0,3.6330883e-11,0
101,1.0,3.7312506e-12,0
102,1.0,1.2889443e-09,0
103,1.0,1.2134617e-12,0
104,1.0,2.1230434e-13,0
105,1.0,1.2109577e-12,0
106,1.0,6.706884e-13,0
107,0.999998,1.9772142e-06,0
108,1.0,5.6060676e-09,0
109,1.0,2.5140348e-10,0
110,1.0,7.6406614e-10,0
111,1.0,2.705773e-12,0
112,1.0,2.8178836e-11,0
113,1.0,4.9257677e-12,0
114,1.0,6.930073e-09,0
115,1.0,9.58115e-12,0
116,1.0,1.5711565e-09,0
117,1.0,4.063447e-10,0
118,1.0,1.0072067e-12,0
119,1.0,1.3619157e-13,0
120,1.0,4.0870977e-11,0
121,1.0,1.636189e-13,0
122,1.0,3.4156502e-13,0
123,0.99999905,9.933729e-07,0
124,1.0,2.7646377e-13,0
125,1.0,2.6576632e-08,0
126,1.0,1.7342341e-11,0
127,0.9999999,1.1868298e-07,0
128,1.0,1.1032398e-08,0
129,1.0,1.145626e-09,0
130,0.99999964,3.997929e-07,0
131,1.0,5.997486e-14,0
132,1.0,8.508168e-09,0
133,1.0,3.9223607e-11,0
134,1.0,1.1095405e-09,0
135,1.0,1.0762062e-12,0
136,1.0,2.5420885e-10,0
137,1.0,2.0112518e-11,0
138,1.0,3.13909e-10,0
139,1.0,2.0012738e-13,0
140,1.0,1.3614517e-08,0
141,1.0,5.6415967e-08,0
142,1.0,6.948331e-11,0
143,1.0,1.561229e-10,0
144,1.0,2.719637e-10,0
145,1.0,3.9878406e-10,0
146,1.0,6.0206125e-11,0
147,0.99999976,2.74556e-07,0
148,1.0,3.4651868e-09,0
149,0.9999987,1.3692509e-06,0
150,0.9999999,9.976987e-08,0
151,0.9999999,7.652e-08,0
152,1.0,4.6655164e-09,0
153,1.0,1.357182e-11,0
154,1.0,3.8588365e-13,0
155,1.0,2.1321384e-12,0
156,0.9999999,1.6087759e-07,0
157,0.9999995,4.8471264e-07,0
158,0.9999999,6.781443e-08,0
159,0.9999999,1.7488281e-07,0
160,1.0,6.4105294e-09,0
161,1.0,4.095616e-09,0
162,0.9999989,1.124422e-06,0
163,0.9999995,4.8612924e-07,0
164,1.0,1.7733289e-08,0
165,0.99999976,2.8864469e-07,0
166,1.0,4.7853295e-09,0
167,0.99999976,2.7981602e-07,0
168,1.0,1.2636835e-09,0
169,1.0,1.08215596e-10,0
170,1.0,1.2805081e-08,0
171,0.99999976,2.703819e-07,0
172,1.0,3.6101702e-10,0
173,1.0,1.4099552e-10,0
174,0.99999976,1.803803e-07,0
175,1.0,3.754431e-08,0
176,1.0,2.4521256e-08,0
177,1.0,9.168711e-09,0
178,0.9999999,6.190092e-08,0
179,1.0,3.4864492e-12,0
180,0.9999999,1.2499203e-07,0
181,0.9999999,7.1290614e-08,0
182,1.0,7.9771345e-09,0
183,0.9999999,7.367943e-08,0
184,1.0,4.52382e-09,0
185,1.0,3.629982e-09,0
186,0.9999999,1.7444887e-07,0
187,1.0,4.1522243e-09,0
188,0.9999999,1.7044027e-07,0
189,0.9999995,4.4522344e-07,0
190,1.0,4.258774e-13,0
191,1.0,3.1176586e-09,0
192,0.9999999,9.42475e-08,0
193,1.0,1.0996683e-08,0
194,1.0,6.1000226e-11,0
195,1.0,5.463201e-10,0
196,1.0,2.2927776e-10,0
197,1.0,5.616939e-10,0
198,0.99999976,1.8156805e-07,0
199,1.0,7.592394e-12,0
200,1.0,2.159462e-08,0
201,0.99999595,4.1043872e-06,0
202,0.99999917,8.196394e-07,0
203,1.0,1.6629487e-08,0
204,1.0,3.6009964e-10,0
205,1.0,6.1530213e-13,0
206,0.9999999,1.0101796e-07,0
207,0.99999964,3.8006735e-07,0
208,1.0,1.286098e-09,0
209,0.99999964,4.0952122e-07,0
210,1.0,4.5205523e-12,0
211,1.0,1.00246415e-10,0
212,1.0,1.5755707e-13,0
213,1.0,1.0158084e-10,0
214,0.9999999,6.8931115e-08,0
