index,non-parasite output,parasite output,label
0,1.0,1.4143849e-08,0
1,1.0,3.2234826e-10,0
2,0.99999976,2.1826932e-07,0
3,0.99999976,2.0230979e-07,0
4,1.0,3.5378575e-11,0
5,1.0,3.703529e-11,0
6,1.0,3.7470107e-09,0
7,1.0,2.8774954e-09,0
8,0.99999976,2.862534e-07,0
9,1.0,4.3454644e-09,0
10,1.0,1.9620119e-09,0
11,0.9999995,4.7025233e-07,0
12,1.0,4.2590323e-10,0
13,1.0,4.9750126e-10,0
14,1.0,4.757263e-09,0
15,1.0,7.570584e-09,0
16,1.0,1.1611089e-12,0
17,1.0,3.7371343e-08,0
18,1.0,5.2721764e-11,0
19,1.0,8.700482e-10,0
20,0.9999999,7.075634e-08,0
21,1.0,2.3071918e-11,0
22,1.0,1.2092285e-09,0
23,1.0,2.2423713e-10,0
24,1.0,4.968046e-09,0
25,1.0,9.379751e-09,0
26,1.0,9.706639e-11,0
27,1.0,3.9578527e-08,0
28,1.0,4.4197845e-09,0
29,1.0,2.4891095e-10,0
30,1.0,1.1932364e-09,0
31,1.0,3.9330494e-08,0
32,1.0,9.142132e-09,0
33,1.0,1.6456356e-08,0
34,1.0,1.6117321e-09,0
35,1.0,2.429916e-09,0
36,1.0,1.1032523e-08,0
37,1.0,5.7547817e-10,0
38,1.0,3.260429e-10,0
39,1.0,2.671813e-08,0
40,1.0,4.9418695e-08,0
41,1.0,3.332077e-08,0
42,1.0,9.913309e-12,0
43,1.0,7.81735e-10,0
44,1.0,4.7699785e-11,0
45,1.0,6.775968e-10,0
46,1.0,7.92856e-10,0
47,1.0,1.4133817e-08,0
48,1.0,1.0188034e-08,0
49,1.0,1.186813e-09,0
50,1.0,3.3289546e-10,0
51,1.0,6.091039e-10,0
52,1.0,8.929086e-11,0
53,1.0,1.0637473e-08,0
54,1.0,4.8509387e-11,0
55,0.9999993,7.065936e-07,0
56,1.0,1.3173763e-08,0
57,1.0,1.8993498e-08,0
58,1.0,8.6042695e-10,0
59,1.0,8.295161e-09,0
60,1.0,1.4428911e-09,0
61,1.0,7.856678e-10,0
62,1.0,7.452083e-11,0
63,0.9999981,1.8482434e-06,0
64,1.0,5.201286e-09,0
65,1.0,1.4344349e-08,0
66,1.0,5.9187855e-08,0
67,1.0,1.1774767e-08,0
68,1.0,2.900956e-08,0
69,1.0,5.514281e-13,0
70,1.0,2.9811558e-09,0
71,1.0,1.6444613e-09,0
72,1.0,1.092895e-09,0
73,0.99999416,5.800481e-06,0
74,1.0,7.0581088e-09,0
75,1.0,1.8341312e-08,0
76,1.0,9.5759765e-09,0
77,1.0,3.0158523e-10,0
78,1.0,2.819533e-08,0
79,1.0,7.2957496e-10,0
80,1.0,8.026401e-09,0
81,1.0,3.043455e-11,0
82,1.0,1.8835951e-08,0
83,1.0,1.0123569e-08,0
84,0.99999976,2.7566264e-07,0
85,1.0,2.510616e-08,0
86,1.0,1.0395219e-08,0
87,0.99999964,3.7916334e-07,0
88,1.0,1.662917e-08,0
89,1.0,9.60742e-10,0
90,1.0,6.80155e-11,0
91,1.0,7.762409e-09,0
92,1.0,1.8525843e-10,0
93,1.0,1.2337983e-09,0
94,1.0,4.7884835e-11,0
95,1.0,6.403206e-10,0
96,1.0,7.6646867e-10,0
97,1.0,2.1274091e-09,0
98,0.9999999,8.605427e-08,0
99,1.0,1.7474192e-11,0
100,1.0,1.7654488e-08,0
101,0.99999785,2.1865424e-06,0
102,1.0,4.7096684e-08,0
103,1.0,2.6857847e-10,0
104,0.9999993,7.244989e-07,0
105,1.0,7.908714e-10,0
106,1.0,3.0434755e-09,0
107,1.0,2.0422691e-08,0
108,1.0,1.5187975e-08,0
109,1.0,2.2093811e-09,0
110,1.0,2.394153e-08,0
111,1.0,1.4753373e-09,0
112,1.0,2.5397342e-09,0
113,1.0,3.2577095e-08,0
114,1.0,1.0986662e-08,0
115,0.9999999,7.519944e-08,0
116,1.0,6.048008e-10,0
117,1.0,3.941757e-10,0
118,1.0,1.6787899e-09,0
119,1.0,1.0466044e-08,0
120,1.0,5.2041216e-10,0
121,0.99999964,3.767505e-07,0
122,1.0,1.0665834e-08,0
123,1.0,9.546356e-10,0
124,1.0,2.0683695e-08,0
125,1.0,8.627502e-11,0
126,1.0,5.685107e-08,0
127,1.0,4.9088392e-08,0
128,1.0,5.4211885e-08,0
129,1.0,4.7745257e-09,0
130,0.9999999,1.6421278e-07,0
131,1.0,5.588407e-10,0
132,0.9999999,1.6718478e-07,0
133,1.0,4.0446756e-12,0
134,1.0,1.9954935e-11,0
135,1.0,7.681517e-10,0
136,1.0,6.808206e-12,0
137,1.0,6.6247403e-09,0
138,1.0,1.8205566e-11,0
139,1.0,5.6530086e-10,0
140,1.0,5.4702156e-11,0
141,0.9999999,1.0160365e-07,0
142,1.0,2.0343495e-12,0
143,1.0,4.8438547e-08,0
144,0.9999999,1.6130683e-07,0
145,1.0,1.0981225e-10,0
146,1.0,4.4671215e-11,0
147,1.0,4.258907e-08,0
148,1.0,1.3457443e-08,0
149,0.9999999,1.1103883e-07,0
150,1.0,1.0043225e-10,0
151,0.99999976,1.903267e-07,0
152,1.0,4.0960217e-09,0
153,1.0,1.0916103e-08,0
154,1.0,2.569541e-08,0
155,1.0,1.160223e-09,0
156,1.0,4.7091206e-08,0
157,0.9999999,1.522608e-07,0
158,1.0,1.11771445e-08,0
159,1.0,3.8140204e-08,0
160,1.0,5.785171e-09,0
161,0.99999976,2.8672963e-07,0
162,0.99999976,2.1406925e-07,0
163,0.9999999,8.366047e-08,0
164,1.0,1.1933691e-08,0
165,1.0,4.572529e-09,0
166,0.9999999,9.29601e-08,0
167,1.0,2.6517868e-10,0
168,1.0,6.847532e-13,0
169,1.0,7.250488e-09,0
170,1.0,1.4916786e-08,0
171,1.0,8.7677385e-09,0
172,0.9999999,6.697364e-08,0
173,1.0,6.939408e-10,0
174,1.0,1.1297513e-08,0
175,1.0,8.848048e-11,0
176,1.0,5.2113924e-10,0
177,1.0,9.762117e-11,0
178,1.0,1.1758881e-11,0
179,0.9999999,7.201e-08,0
180,1.0,1.5368785e-09,0
181,1.0,1.534907e-09,0
182,1.0,2.6982491e-08,0
183,1.0,1.2781765e-10,0
184,1.0,6.035497e-09,0
185,1.0,7.0861345e-10,0
186,1.0,4.6729953e-10,0
187,1.0,3.6177666e-10,0
188,1.0,1.12193925e-08,0
189,1.0,1.22733785e-11,0
190,1.0,4.3289607e-09,0
191,1.0,9.589355e-09,0
192,1.0,3.1566958e-09,0
193,1.0,1.9131408e-08,0
194,1.0,5.7003785e-10,0
195,0.9999999,9.4033105e-08,0
196,1.0,2.530647e-10,0
197,1.0,2.906547e-10,0
198,1.0,3.1181049e-09,0
199,0.99999714,2.831373e-06,0
200,1.0,5.736054e-10,0
201,1.0,8.2808344e-10,0
202,1.0,2.4367744e-10,0
203,1.0,8.229791e-09,0
204,1.0,2.5361292e-08,0
205,1.0,2.1577193e-09,0
206,1.0,2.0938965e-12,0
207,1.0,1.1909043e-08,0
208,1.0,1.2580321e-09,0
209,1.0,7.564507e-09,0
210,0.99999976,2.3114374e-07,0
211,1.0,1.7704443e-10,0
212,1.0,1.2447748e-10,0
213,1.0,2.9936363e-08,0
214,1.0,6.672975e-11,0
215,0.9999999,8.152833e-08,0
216,1.0,8.493981e-09,0
217,1.0,3.817031e-09,0
218,1.0,4.735897e-09,0
219,0.9999999,6.126173e-08,0
220,1.0,2.01695e-10,0
221,1.0,2.462121e-09,0
222,1.0,5.4459335e-09,0
223,1.0,3.69938e-10,0
224,1.0,1.8259739e-08,0
225,1.0,3.2941287e-09,0
226,1.0,3.969584e-09,0
227,0.9999995,5.308876e-07,0
228,1.0,1.488206e-08,0
229,0.99999785,2.0949408e-06,0
230,1.0,3.673873e-08,0
231,1.0,3.894551e-09,0
232,1.0,4.6967996e-10,0
233,1.0,1.2573358e-10,0
234,1.0,8.881095e-09,0
235,1.0,8.8126834e-10,0
236,1.0,3.6059846e-11,0
237,1.0,3.9425183e-09,0
238,1.0,1.2175434e-10,0
239,1.0,5.016163e-11,0
240,1.0,1.6432792e-09,0
241,1.0,1.0752886e-09,0
242,0.9999999,6.002127e-08,0
243,1.0,4.0220088e-10,0
244,1.0,2.2434943e-08,0
245,1.0,2.8699916e-09,0
246,1.0,4.490313e-08,0
247,0.9999989,1.0945165e-06,0
248,1.0,9.8592245e-09,0
249,1.0,9.2183615e-11,0
250,1.0,8.038143e-11,0
251,1.0,2.7705518e-08,0
252,1.0,1.1291305e-09,0
253,1.0,1.8155243e-08,0
254,1.0,1.4395237e-09,0
255,1.0,1.242845e-08,0
256,1.0,3.5217585e-08,0
257,1.0,1.5311322e-09,0
258,1.0,1.3407176e-08,0
259,1.0,1.6253586e-09,0
260,1.0,3.1382702e-10,0
261,0.9999999,6.1928205e-08,0
262,1.0,3.3812602e-11,0
263,1.0,2.5010367e-09,0
264,1.0,4.4925334e-11,0
265,1.0,4.9249525e-11,0
266,1.0,5.309631e-13,0
267,1.0,3.4220478e-09,0
268,0.9999999,1.00461314e-07,0
269,1.0,1.2538788e-08,0
270,1.0,1.9895459e-11,0
271,1.0,3.6409428e-10,0
272,1.0,6.0859026e-11,0
273,1.0,9.77118e-09,0
274,1.0,3.7194733e-10,0
275,1.0,3.9462985e-11,0
276,1.0,4.7396333e-11,0
277,1.0,2.2009679e-10,0
278,1.0,3.8954995e-10,0
279,1.0,3.237962e-11,0
280,1.0,2.548216e-09,0
281,1.0,1.33064955e-08,0
282,1.0,7.7503256e-12,0
283,1.0,1.4494423e-09,0
284,1.0,5.982877e-09,0
285,1.0,4.8901097e-09,0
286,1.0,2.130131e-08,0
287,1.0,8.554088e-09,0
288,1.0,4.2154552e-10,0
289,1.0,2.247489e-09,0
290,1.0,6.47938e-09,0
291,1.0,3.1627267e-10,0
292,1.0,3.6890203e-11,0
293,1.0,3.0151218e-10,0
294,1.0,2.924605e-09,0
295,1.0,4.1380448e-11,0
296,1.0,4.9607335e-10,0
297,1.0,3.781511e-08,0
298,1.0,3.5031473e-08,0
299,1.0,4.4758572e-10,0
300,1.0,1.9772294e-10,0
301,0.9999982,1.8013292e-06,0
302,1.0,4.03839e-10,0
303,1.0,1.0387598e-10,0
304,0.99999976,1.904113e-07,0
305,1.0,1.234236e-09,0
306,1.0,1.7739868e-10,0
307,1.0,2.8264476e-11,0
308,1.0,3.9814263e-10,0
309,1.0,2.5871685e-10,0
310,1.0,3.677741e-09,0
311,1.0,1.4047344e-10,0
312,1.0,6.821747e-09,0
313,1.0,1.8794815e-09,0
314,1.0,3.838117e-08,0
315,1.0,3.7995058e-08,0
316,1.0,1.0108399e-09,0
317,0.99999976,2.4790822e-07,0
318,1.0,2.0220284e-12,0
319,1.0,6.812126e-09,0
320,1.0,6.8093073e-09,0
321,1.0,1.0744817e-11,0
322,1.0,9.786171e-10,0
323,1.0,5.628656e-08,0
324,1.0,2.2748452e-09,0
325,1.0,2.039477e-09,0
326,1.0,1.1275126e-08,0
327,1.0,2.657733e-09,0
328,1.0,1.772492e-10,0
329,1.0,9.045995e-11,0
330,1.0,1.17782255e-08,0
331,1.0,9.707686e-09,0
332,1.0,2.5374585e-09,0
333,1.0,2.3051179e-09,0
334,1.0,4.641534e-09,0
335,1.0,1.3285263e-09,0
336,1.0,1.7897174e-08,0
337,1.0,4.4720894e-12,0
338,1.0,1.6907382e-08,0
339,1.0,1.9932559e-08,0
340,1.0,6.653254e-10,0
341,1.0,7.692092e-09,0
342,1.0,7.21842e-09,0
343,1.0,1.7754612e-08,0
344,0.9999999,7.266606e-08,0
345,1.0,2.3068586e-10,0
346,1.0,2.5633265e-10,0
347,1.0,1.5069192e-10,0
348,0.99999976,1.8518024e-07,0
349,1.0,2.7855203e-12,0
350,1.0,7.893936e-12,0
351,1.0,5.3458942e-11,0
352,1.0,1.85429e-12,0
353,1.0,1.9253013e-08,0
