index,non-parasite output,parasite output,label
0,1.0,3.3416744e-12,0
1,1.0,1.4801802e-12,0
2,1.0,2.0333585e-10,0
3,1.0,9.107728e-12,0
4,1.0,1.88212e-11,0
5,1.0,1.6955652e-13,0
6,1.0,1.6267518e-12,0
7,1.0,2.8254138e-14,0
8,1.0,8.530787e-13,0
9,1.0,1.6490761e-12,0
10,1.0,6.030931e-12,0
11,1.0,5.2138953e-11,0
12,1.0,7.182533e-13,0
13,1.0,9.818698e-11,0
14,1.0,1.5498758e-12,0
15,1.0,2.7761625e-13,0
16,1.0,1.44461075e-11,0
17,1.0,4.980546e-11,0
18,1.0,6.4941955e-11,0
19,0.9999993,7.035235e-07,0
20,1.0,1.8635972e-12,0
21,1.0,5.537595e-13,0
22,1.0,2.565959e-13,0
23,1.0,1.0067572e-12,0
24,1.0,2.4823202e-10,0
25,1.0,1.8473717e-11,0
26,1.0,4.140891e-13,0
27,1.0,2.9315856e-13,0
28,1.0,9.726844e-14,0
29,1.0,8.693705e-12,0
30,0.9999999,7.764885e-08,0
31,1.0,3.755618e-09,0
32,1.0,3.0165513e-08,0
33,1.0,6.23049e-10,0
34,1.0,1.5804302e-11,0
35,1.0,3.025709e-11,0
36,1.0,2.7788927e-08,0
37,1.0,7.324025e-10,0
38,0.9999999,6.953591e-08,0
39,1.0,3.6563647e-10,0
40,1.0,5.3770666e-10,0
41,1.0,3.4263625e-14,0
42,1.0,2.6722116e-11,0
43,1.0,4.4052073e-09,0
44,1.0,1.453238e-12,0
45,1.0,3.0927077e-12,0
46,1.0,1.3745808e-09,0
47,0.9999876,1.2394795e-05,0
48,0.99999905,9.976394e-07,0
49,1.0,4.6329696e-10,0
50,1.0,1.5009126e-10,0
51,1.0,1.1347612e-09,0
52,0.99999976,2.5592848e-07,0
53,1.0,2.977344e-12,0
54,1.0,3.3479903e-12,0
55,1.0,1.6157757e-10,0
56,1.0,3.1028677e-10,0
57,0.99999976,1.9055628e-07,0
58,1.0,9.4815995e-12,0
59,1.0,1.838228e-09,0
60,0.9999999,1.4640041e-07,0
61,0.99999034,9.647269e-06,0
62,1.0,2.2234923e-13,0
63,1.0,1.1402247e-08,0
64,1.0,2.368014e-10,0
65,0.99999976,2.9728113e-07,0
66,0.9999999,1.4438533e-07,0
67,1.0,2.1705149e-13,0
68,1.0,6.309084e-13,0
69,1.0,2.6910906e-11,0
70,1.0,7.7874806e-14,0
71,1.0,2.1824135e-12,0
72,1.0,4.6795727e-12,0
73,1.0,4.620835e-10,0
74,1.0,6.968445e-13,0
75,1.0,1.3366399e-12,0
76,1.0,3.479366e-13,0
77,1.0,1.888971e-11,0
78,1.0,1.379377e-12,0
79,1.0,5.1581053e-12,0
80,0.9999987,1.2989597e-06,0
81,1.0,2.372398e-11,0
82,1.0,2.8877178e-08,0
83,1.0,1.1735489e-11,0
84,1.0,3.7641263e-15,0
85,1.0,7.688443e-12,0
86,1.0,1.2540987e-12,0
87,1.0,5.2442353e-11,0
88,1.0,5.5060833e-13,0
89,1.0,1.0792939e-08,0
90,1.0,1.2776268e-12,0
91,1.0,4.7611047e-12,0
92,1.0,6.306023e-11,0
93,1.0,3.7377056e-11,0
94,1.0,2.2561758e-11,0
95,1.0,6.5637263e-13,0
96,1.0,3.8086892e-13,0
97,1.0,9.701567e-11,0
98,1.0,4.1462965e-13,0
99,0.9999999,1.7735158e-07,0
100,1.0,5.447276e-12,0
101,1.0,6.6222006e-13,0
102,1.0,1.6396981e-12,0
103,1.0,7.5143135e-11,0
104,1.0,1.2526183e-13,0
105,1.0,4.265343e-09,0
106,0.9999999,1.2851845e-07,0
107,1.0,8.5013954e-11,0
108,1.0,2.1177636e-11,0
109,1.0,1.0955899e-12,0
110,1.0,6.83507e-13,0
111,1.0,6.3993385e-13,0
112,1.0,3.247756e-13,0
113,1.0,4.653083e-13,0
114,1.0,2.3409256e-14,0
115,1.0,2.6635443e-12,0
116,1.0,5.6907066e-15,0
117,1.0,8.7919185e-13,0
118,1.0,2.2395204e-10,0
119,1.0,1.0924006e-10,0
120,0.99999976,1.8705316e-07,0
121,1.0,2.6266616e-11,0
122,1.0,7.6632e-09,0
123,1.0,3.2313371e-10,0
124,1.0,6.370024e-10,0
125,1.0,3.1638925e-13,0
126,1.0,6.25521e-10,0
127,1.0,2.265919e-10,0
128,0.9999716,2.8430506e-05,0
129,1.0,6.7918887e-16,0
130,1.0,5.3276655e-14,0
131,1.0,3.21037e-14,0
132,1.0,2.887408e-09,0
133,1.0,6.8785195e-12,0
134,1.0,3.6979352e-13,0
135,1.0,3.795619e-14,0
136,1.0,2.2482296e-14,0
137,1.0,7.445842e-12,0
138,1.0,3.8351947e-13,0
139,1.0,4.886048e-15,0
140,1.0,3.701021e-12,0
141,1.0,2.6233692e-13,0
142,1.0,4.6367133e-12,0
143,1.0,4.9068047e-13,0
144,1.0,1.4219706e-14,0
145,1.0,1.9788136e-14,0
146,1.0,5.410573e-14,0
147,1.0,4.5391763e-10,0
148,1.0,8.316566e-12,0
