index,non-parasite output,parasite output,label
0,1.0,2.5543168e-10,0
1,0.9999989,1.0521345e-06,0
2,1.0,4.5290256e-09,0
3,1.0,3.416216e-10,0
4,1.0,2.491236e-11,0
5,1.0,3.5775558e-10,0
6,1.0,1.0202205e-09,0
7,1.0,4.1964424e-10,0
8,0.99999976,2.7143133e-07,0
9,0.99999976,1.8610618e-07,0
10,0.99999976,1.9988875e-07,0
11,1.0,4.110381e-10,0
12,1.0,1.5353907e-12,0
13,1.0,3.3363026e-10,0
14,0.99888307,0.0011169482,0
15,1.0,2.2166073e-09,0
16,1.0,2.4684688e-09,0
17,1.0,1.30810704e-08,0
18,1.0,1.0164469e-12,0
19,1.0,5.323395e-08,0
20,0.9999343,6.566778e-05,0
21,1.0,1.6771858e-10,0
22,1.0,2.6572284e-11,0
23,1.0,1.843879e-08,0
24,1.0,1.9608295e-13,0
25,1.0,7.130303e-11,0
26,0.99999964,4.009823e-07,0
27,0.99997926,2.0771062e-05,0
28,1.0,5.3600756e-11,0
29,1.0,3.0457834e-11,0
30,1.0,2.2613834e-12,0
31,0.9999988,1.2284427e-06,0
32,1.0,1.4745019e-09,0
33,0.9999995,4.2992008e-07,0
34,1.0,9.935395e-09,0
35,0.99999714,2.8679685e-06,0
36,0.9999988,1.1903318e-06,0
37,0.9999963,3.6800698e-06,0
38,1.0,1.0844439e-09,0
39,1.0,2.3930058e-09,0
40,1.0,1.0826747e-09,0
41,1.0,1.3485083e-09,0
42,0.99999666,3.282645e-06,0
43,1.0,4.0576462e-10,0
44,1.0,4.3651185e-09,0
45,0.9999999,1.23069e-07,0
46,1.0,3.2209535e-08,0
47,0.9999993,7.5805707e-07,0
48,1.0,3.204629e-08,0
49,0.99999976,1.847139e-07,0
50,0.99956316,0.00043678508,0
51,0.9999995,4.632409e-07,0
52,0.9999995,5.1308575e-07,0
53,0.9999989,1.1292796e-06,0
54,1.0,2.4076838e-09,0
55,0.9999994,6.4728977e-07,0
56,0.99999964,3.5342416e-07,0
57,0.9999999,1.5370472e-07,0
58,1.0,1.3896491e-09,0
59,1.0,3.557403e-09,0
60,1.0,7.329615e-10,0
61,1.0,5.1361837e-08,0
62,1.0,3.8396217e-10,0
63,1.0,4.581787e-11,0
64,0.9999999,6.9401686e-08,0
65,0.99999964,3.9226737e-07,0
66,0.9999993,6.9492546e-07,0
67,0.9999999,1.0227874e-07,0
68,1.0,5.0776432e-08,0
69,1.0,5.993179e-09,0
70,0.9999999,1.361055e-07,0
71,1.0,1.3909901e-10,0
72,0.9999999,9.304027e-08,0
73,0.9999999,9.3703314e-08,0
74,1.0,1.9077552e-08,0
75,0.9999199,8.005067e-05,0
76,0.9999999,6.6846525e-08,0
77,1.0,2.4281611e-08,0
78,1.0,2.4501105e-08,0
79,0.99999964,3.7401722e-07,0
80,1.0,3.056629e-09,0
81,1.0,6.905684e-18,0
82,0.9999999,1.3707334e-07,0
83,0.99998724,1.2730686e-05,0
84,0.99999964,3.7221034e-07,0
85,1.0,9.551992e-12,0
86,0.9999999,9.54651e-08,0
87,1.0,1.0546057e-12,0
88,0.9999999,1.616746e-07,0
89,1.0,6.4728764e-11,0
90,1.0,5.5699388e-08,0
91,0.99999964,3.6383923e-07,0
92,0.99999964,3.0644355e-07,0
93,0.9999999,1.5365899e-07,0
94,1.0,4.101074e-08,0
95,1.0,2.6839858e-11,0
96,0.9999999,1.1635704e-07,0
97,1.0,4.1451205e-08,0
98,1.0,2.3845905e-09,0
99,1.0,2.7507574e-09,0
100,0.9999999,1.1766868e-07,0
101,1.0,4.2530113e-09,0
102,1.0,2.6839872e-10,0
103,1.0,8.676237e-10,0
104,0.9999994,6.5224964e-07,0
105,0.99999976,2.1345869e-07,0
106,0.9999988,1.1358832e-06,0
107,1.0,4.964184e-08,0
108,0.9999999,1.0229045e-07,0
109,0.99999976,2.6176437e-07,0
110,1.0,1.3828466e-08,0
111,1.0,4.5915925e-08,0
112,0.9999999,7.298318e-08,0
113,0.9999999,8.0504144e-08,0
114,0.9999999,1.4261585e-07,0
115,1.0,1.0622869e-09,0
116,1.0,2.8617797e-10,0
117,0.9999999,6.2920705e-08,0
118,0.999995,5.0036474e-06,0
119,1.0,6.7193686e-09,0
120,1.0,2.9215231e-08,0
121,1.0,3.5599417e-09,0
122,0.9999999,1.5325682e-07,0
123,0.9999999,7.104831e-08,0
124,0.9999995,4.7683352e-07,0
125,0.9999995,4.5991962e-07,0
126,1.0,3.343977e-08,0
127,0.9999999,1.1096261e-07,0
128,1.0,5.262028e-08,0
129,0.99999785,2.1571725e-06,0
130,0.9999999,1.5077696e-07,0
131,0.9999994,5.840097e-07,0
132,1.0,8.691165e-09,0
133,0.9999999,1.4069512e-07,0
134,0.9999999,6.355297e-08,0
135,1.0,2.6518676e-10,0
136,0.9999962,3.7624495e-06,0
137,1.0,9.0205905e-09,0
138,0.9999995,4.2034802e-07,0
139,0.99999976,2.4366568e-07,0
140,0.9999999,9.580913e-08,0
141,1.0,2.808661e-10,0
142,0.99999976,1.8612604e-07,0
143,1.0,2.5042732e-09,0
144,1.0,2.6508665e-10,0
145,1.0,5.099617e-08,0
146,1.0,8.929401e-09,0
147,0.99999964,3.141993e-07,0
148,1.0,5.275542e-09,0
149,0.9999999,7.2807715e-08,0
150,0.9999993,6.6687085e-07,0
151,1.0,1.0229256e-08,0
152,1.0,1.6310084e-08,0
153,0.9999999,1.2394982e-07,0
154,1.0,1.1301134e-08,0
155,0.99999964,3.1704735e-07,0
156,1.0,4.1888795e-09,0
157,1.0,3.5368913e-08,0
158,1.0,1.645347e-08,0
159,1.0,1.8136276e-08,0
160,1.0,1.4643623e-08,0
161,1.0,5.7588288e-08,0
162,0.99999964,3.1988768e-07,0
163,1.0,4.7378332e-08,0
164,1.0,5.246074e-08,0
165,0.99999976,2.9153873e-07,0
166,0.99999976,1.9138712e-07,0
167,1.0,2.01069e-09,0
168,1.0,1.5560718e-09,0
169,1.0,1.9215886e-08,0
170,0.9999995,4.2465777e-07,0
171,1.0,3.6279765e-08,0
172,1.0,5.3532794e-08,0
173,0.9999999,1.1752188e-07,0
174,1.0,8.843249e-09,0
175,1.0,4.3747313e-08,0
176,0.99999964,3.7532502e-07,0
177,1.0,1.3737945e-09,0
178,0.99999976,1.9112065e-07,0
179,1.0,1.2910997e-09,0
180,1.0,6.225498e-11,0
181,0.9999999,6.286601e-08,0
182,1.0,2.6020361e-09,0
183,1.0,5.9140093e-09,0
184,1.0,4.410422e-08,0
185,0.99999964,3.0350225e-07,0
186,0.99999976,1.9438323e-07,0
187,0.99999964,3.9065534e-07,0
188,1.0,3.096486e-08,0
189,0.9999999,8.750251e-08,0
190,1.0,4.3317996e-10,0
191,1.0,4.6376045e-09,0
192,1.0,1.1725813e-09,0
193,1.0,2.1107903e-08,0
194,0.9999701,2.9946474e-05,0
195,0.9999999,6.026975e-08,0
196,0.9999999,8.6115016e-08,0
197,0.99999976,2.3129324e-07,0
198,0.9999999,8.654743e-08,0
199,0.9999999,6.669434e-08,0
200,0.9999962,3.8145445e-06,0
201,1.0,4.305782e-08,0
202,0.9999999,7.2693645e-08,0
203,1.0,4.770386e-08,0
204,1.0,5.873884e-10,0
205,0.9999999,1.16388335e-07,0
206,0.9999999,1.04714594e-07,0
207,0.9999999,1.0185959e-07,0
208,1.0,2.709864e-08,0
209,1.0,1.7968386e-08,0
210,0.99999976,2.7727492e-07,0
211,0.99999833,1.6286416e-06,0
212,1.0,4.5243757e-11,0
213,0.9999999,1.1403871e-07,0
214,0.9999994,6.0816825e-07,0
215,0.99999976,2.4033844e-07,0
216,0.9999995,4.5188892e-07,0
217,1.0,3.5031743e-08,0
218,1.0,8.275344e-09,0
219,1.0,1.929057e-09,0
220,1.0,2.3023157e-08,0
221,1.0,4.1113846e-10,0
222,0.9999999,7.5904396e-08,0
223,0.9999999,6.13196e-08,0
224,1.0,1.9303389e-08,0
225,1.0,7.0450623e-09,0
226,0.9999999,1.2524738e-07,0
227,0.99999917,8.901065e-07,0
228,1.0,1.39685135e-08,0
229,0.99999905,9.117301e-07,0
230,1.0,4.3625494e-08,0
231,0.9999999,1.4363326e-07,0
232,0.99999976,2.976028e-07,0
233,1.0,1.5592537e-09,0
234,0.9999995,5.041647e-07,0
235,1.0,1.9811273e-08,0
236,0.9999999,8.021752e-08,0
237,0.99999976,2.906099e-07,0
238,1.0,1.2044506e-08,0
239,1.0,5.8871027e-08,0
240,1.0,2.5756977e-09,0
241,0.99999964,3.3751382e-07,0
242,1.0,2.171629e-09,0
243,1.0,3.640669e-08,0
244,1.0,3.8389224e-08,0
245,0.99999976,2.2414356e-07,0
246,1.0,3.035332e-08,0
247,1.0,3.9350573e-17,0
248,0.99999976,1.9736902e-07,0
249,1.0,4.2727692e-09,0
250,1.0,5.1509485e-08,0
251,1.0,9.527881e-16,0
252,1.0,9.598688e-09,0
253,1.0,1.6154869e-09,0
254,1.0,2.8292862e-10,0
255,0.99999917,8.1049376e-07,0
256,0.9999999,6.528657e-08,0
257,1.0,1.3658465e-09,0
258,1.0,8.976437e-15,0
259,0.99999356,6.4714936e-06,0
260,1.0,8.167436e-11,0
261,1.0,5.2078127e-11,0
262,1.0,9.568454e-09,0
263,1.0,3.1985454e-09,0
264,1.0,2.4197838e-08,0
265,0.9999999,8.842999e-08,0
266,1.0,3.5437233e-09,0
267,0.9999999,1.4672817e-07,0
268,1.0,9.421398e-10,0
269,1.0,8.546276e-09,0
270,1.0,8.7993474e-10,0
271,1.0,4.397436e-08,0
272,1.0,3.862204e-08,0
273,1.0,2.1247288e-09,0
274,0.9999989,1.0134648e-06,0
275,0.9999999,6.446187e-08,0
276,1.0,2.6133478e-08,0
277,1.0,4.223088e-12,0
278,1.0,4.1248183e-09,0
279,0.9999999,6.062624e-08,0
280,1.0,1.2040595e-09,0
281,1.0,4.2991495e-09,0
