index,non-parasite output,parasite output,label
0,1.0,6.000247e-09,0
1,1.0,3.7297623e-09,0
2,1.0,2.376702e-10,0
3,1.0,1.8712445e-12,0
4,1.0,9.554789e-10,0
5,1.0,5.0344976e-08,0
6,0.99999976,2.672502e-07,0
7,1.0,8.175693e-12,0
8,0.9999987,1.3499008e-06,0
9,1.0,1.1507231e-11,0
10,1.0,4.1893845e-12,0
11,1.0,3.008669e-11,0
12,1.0,8.06695e-09,0
13,0.99999905,9.378499e-07,0
14,1.0,1.162013e-08,0
15,1.0,1.1393763e-09,0
16,1.0,3.936704e-12,0
17,1.0,4.7813355e-08,0
18,0.99997807,2.1932377e-05,0
19,0.9999999,9.3623626e-08,0
20,0.99999976,1.9954933e-07,0
21,0.99999976,2.9251373e-07,0
22,0.99999964,3.884938e-07,0
23,1.0,2.990473e-09,0
24,0.9999995,4.3593553e-07,0
25,1.0,1.3255705e-08,0
26,0.9999999,1.4966895e-07,0
27,1.0,6.6247806e-12,0
28,0.9999999,1.5346201e-07,0
29,1.0,4.9937343e-09,0
30,1.0,6.7689183e-09,0
31,0.99999976,2.3022066e-07,0
32,0.9999999,7.578171e-08,0
33,1.0,5.4268597e-11,0
34,0.9999999,1.417913e-07,0
35,1.0,1.26924e-08,0
36,1.0,5.6978566e-10,0
37,1.0,4.3216983e-10,0
38,0.9999999,1.2600697e-07,0
39,0.99999976,2.1828431e-07,0
40,1.0,1.5578813e-08,0
41,1.0,3.851442e-08,0
42,1.0,7.5595713e-10,0
43,0.99999976,2.6693843e-07,0
44,0.99999964,3.2631482e-07,0
45,0.99999976,2.1415256e-07,0
46,1.0,3.2343815e-11,0
47,1.0,1.4440303e-10,0
48,1.0,1.0467316e-09,0
49,1.0,6.3407515e-13,0
50,1.0,3.1924e-10,0
51,1.0,8.127013e-12,0
52,0.999907,9.301776e-05,0
53,1.0,4.5776538e-08,0
54,1.0,5.8142778e-08,0
55,1.0,1.3194408e-08,0
56,1.0,1.1446082e-09,0
57,0.9999999,1.1204919e-07,0
58,1.0,4.901411e-08,0
59,1.0,8.116724e-09,0
60,1.0,4.741022e-09,0
61,1.0,5.913799e-11,0
62,1.0,1.5748287e-09,0
63,0.9998827,0.00011733752,0
64,0.9999999,6.0055626e-08,0
65,0.99999976,2.5319204e-07,0
66,1.0,1.503464e-08,0
67,0.9997004,0.00029964576,0
68,1.0,2.4914723e-12,0
69,1.0,5.9577363e-08,0
70,0.9999999,1.0899088e-07,0
71,1.0,6.5289787e-09,0
72,1.0,2.0554669e-11,0
73,1.0,1.433578e-09,0
74,0.9997323,0.00026766115,0
75,1.0,1.5676422e-09,0
76,1.0,4.757363e-09,0
77,1.0,3.7571743e-12,0
78,0.99999976,2.0970306e-07,0
79,0.9999999,9.571671e-08,0
80,1.0,2.625125e-10,0
81,1.0,2.811097e-08,0
82,1.0,2.0236113e-11,0
83,1.0,3.4079068e-09,0
84,0.9999987,1.3069945e-06,0
85,0.9999987,1.2622794e-06,0
86,0.9999999,1.526375e-07,0
87,1.0,1.0384651e-09,0
88,1.0,1.5566725e-08,0
89,1.0,4.2405652e-11,0
90,1.0,2.3537585e-09,0
91,0.9981305,0.0018695315,0
92,0.9999994,5.5941814e-07,0
93,1.0,6.5862884e-09,0
94,1.0,1.02765706e-10,0
95,1.0,6.6314403e-09,0
96,0.99999964,3.546708e-07,0
97,1.0,6.1855543e-10,0
98,0.99999905,9.813654e-07,0
99,1.0,5.996835e-10,0
