index,non-parasite output,parasite output,label
0,1.0,3.407525e-08,0
1,1.0,3.5800132e-10,0
2,0.9999918,8.193775e-06,0
3,0.9999999,1.0447221e-07,0
4,1.0,2.3836728e-08,0
5,1.0,1.1778904e-11,0
6,1.0,2.1762492e-08,0
7,0.99999654,3.4521383e-06,0
8,1.0,5.3988995e-08,0
9,1.0,3.1093957e-18,0
10,0.99999714,2.9088128e-06,0
11,1.0,3.604422e-08,0
12,0.99999964,4.1438963e-07,0
13,1.0,3.860132e-09,0
14,0.9999975,2.562211e-06,0
15,0.9999995,5.339269e-07,0
16,0.99996173,3.8225975e-05,0
17,1.0,4.5078712e-15,0
18,0.9999987,1.2684676e-06,0
19,1.0,1.780694e-08,0
20,1.0,3.7747524e-15,0
21,1.0,3.203022e-08,0
22,0.99999964,3.8332672e-07,0
23,0.9999988,1.1467743e-06,0
24,0.99999964,3.1254126e-07,0
25,0.9999999,1.4463257e-07,0
26,1.0,6.033034e-09,0
27,1.0,6.0637194e-13,0
28,1.0,9.192467e-14,0
29,1.0,8.639778e-13,0
30,1.0,1.2358567e-13,0
31,0.99999964,3.6162254e-07,0
32,0.99999905,9.647907e-07,0
33,1.0,1.7140484e-12,0
34,1.0,6.6676376e-09,0
35,0.9999945,5.4849834e-06,0
36,0.9999212,7.877017e-05,0
37,1.0,4.288858e-11,0
38,1.0,1.087663e-09,0
39,0.9999958,4.173405e-06,0
40,0.9999881,1.1886997e-05,0
41,1.0,4.8913243e-08,0
42,1.0,5.6747843e-11,0
43,1.0,1.595096e-08,0
44,0.9999993,7.1642427e-07,0
45,1.0,3.6868536e-11,0
46,0.99999714,2.8993604e-06,0
47,1.0,2.940228e-08,0
48,0.9999993,7.739253e-07,0
49,0.9999999,1.05396076e-07,0
50,0.9999831,1.6884629e-05,0
51,1.0,1.4159104e-11,0
52,0.99999976,2.1172585e-07,0
53,1.0,2.2821068e-13,0
54,1.0,5.68907e-18,0
55,0.9999994,5.916996e-07,0
56,1.0,4.061266e-08,0
57,1.0,4.5816498e-10,0
58,0.9999385,6.15437e-05,0
59,0.9999999,1.4729262e-07,0
60,0.9999912,8.766069e-06,0
61,0.99999976,1.9036119e-07,0
62,0.9999999,1.7794302e-07,0
63,1.0,8.500344e-14,0
64,1.0,1.5810934e-11,0
65,1.0,4.357962e-10,0
66,1.0,9.507143e-10,0
67,1.0,1.0113755e-10,0
68,0.9999927,7.2402336e-06,0
69,0.9999999,1.7736849e-07,0
70,0.999997,3.0347617e-06,0
71,1.0,3.9120334e-08,0
72,1.0,5.8141305e-09,0
73,0.9999999,1.0078317e-07,0
74,0.99999917,7.9502354e-07,0
75,0.9999794,2.0680382e-05,0
76,1.0,2.5301103e-11,0
77,1.0,8.010361e-12,0
78,1.0,4.2398754e-12,0
79,0.9999999,7.652934e-08,0
80,1.0,7.2992705e-14,0
81,0.99999416,5.821418e-06,0
82,0.9999999,1.282579e-07,0
83,0.9999999,1.3298076e-07,0
84,1.0,1.9160593e-11,0
85,0.99999785,2.187821e-06,0
86,1.0,3.1964374e-15,0
87,0.99999785,2.1003182e-06,0
88,0.9999975,2.5277516e-06,0
89,0.99999976,1.8134897e-07,0
90,1.0,3.1250829e-09,0
91,1.0,1.46775e-10,0
92,0.9999999,6.6730095e-08,0
93,0.99999,1.0002622e-05,0
94,1.0,6.0203426e-13,0
95,0.99999774,2.270357e-06,0
96,0.9999999,1.7445552e-07,0
97,1.0,2.781675e-13,0
98,1.0,1.3314288e-12,0
99,0.99999833,1.7196897e-06,0
100,0.99997187,2.8181194e-05,0
101,0.9999999,1.6913036e-07,0
102,1.0,3.8463796e-10,0
103,0.99999857,1.3896492e-06,0
104,0.99999917,8.5583156e-07,0
105,0.99999976,2.1442231e-07,0
106,0.9999993,7.3721316e-07,0
107,0.9999993,7.393155e-07,0
108,1.0,4.6656987e-11,0
109,1.0,4.0048658e-08,0
110,0.9999989,1.1001151e-06,0
111,1.0,1.7345335e-09,0
112,0.99997914,2.0903248e-05,0
113,0.9999999,6.245392e-08,0
114,1.0,5.605482e-12,0
115,1.0,2.4168214e-09,0
116,1.0,3.332255e-08,0
117,1.0,1.1084188e-10,0
118,0.99999976,2.0722341e-07,0
119,0.9999999,8.679986e-08,0
120,1.0,3.91489e-09,0
121,0.9999999,8.932318e-08,0
122,0.9999999,1.3870948e-07,0
123,1.0,2.3296856e-08,0
124,0.99997175,2.8244067e-05,0
125,1.0,5.654623e-11,0
126,0.99999964,4.1373056e-07,0
127,0.9999993,7.717224e-07,0
128,1.0,1.4823418e-08,0
129,0.9999999,1.3464226e-07,0
130,0.9999993,7.540612e-07,0
131,1.0,9.218969e-09,0
132,1.0,3.9075343e-09,0
133,1.0,2.2793772e-11,0
134,0.9999999,1.2804476e-07,0
135,0.9999995,4.6969302e-07,0
136,0.9999999,9.116383e-08,0
137,1.0,3.174691e-08,0
138,1.0,2.4776682e-08,0
139,0.9999988,1.2348135e-06,0
140,1.0,3.822495e-09,0
141,1.0,7.122303e-13,0
142,0.99998844,1.1513171e-05,0
143,0.9999951,4.8478937e-06,0
144,1.0,2.6920277e-09,0
145,1.0,5.0757374e-11,0
146,1.0,6.0152064e-11,0
147,0.9999999,8.0260676e-08,0
148,0.99999905,9.514314e-07,0
149,1.0,8.0335033e-10,0
150,0.9999989,1.1036502e-06,0
151,1.0,1.1404883e-11,0
152,1.0,9.0536983e-10,0
153,1.0,5.7256916e-10,0
154,1.0,1.8486153e-08,0
155,0.9999969,3.135329e-06,0
156,1.0,1.7623019e-13,0
157,0.9999999,8.375131e-08,0
158,0.9999999,1.0912796e-07,0
159,1.0,7.251767e-11,0
160,1.0,7.266263e-11,0
161,0.9999987,1.2947175e-06,0
162,0.99999905,9.5180985e-07,0
163,0.9999758,2.4224213e-05,0
164,1.0,1.4062355e-10,0
165,0.99999833,1.6227254e-06,0
166,1.0,3.0292963e-10,0
167,1.0,2.5007708e-08,0
168,0.99999976,2.4114405e-07,0
169,1.0,2.98407e-08,0
170,0.9999995,4.192159e-07,0
171,0.9999999,1.591365e-07,0
