index,non-parasite output,parasite output,label
0,0.99999976,1.8934436e-07,0
1,0.9999995,4.953567e-07,0
2,0.99999976,2.4512283e-07,0
3,1.0,7.693875e-11,0
4,1.0,1.744472e-11,0
5,1.0,2.5524138e-13,0
6,1.0,2.2773066e-09,0
7,1.0,1.6954256e-10,0
8,1.0,2.7860212e-11,0
9,1.0,3.3025211e-09,0
10,1.0,1.2193445e-10,0
11,0.99999154,8.490909e-06,0
12,1.0,6.230582e-11,0
13,1.0,4.5431188e-13,0
14,1.0,1.2912418e-10,0
15,1.0,1.2221625e-09,0
16,1.0,4.955348e-08,0
17,1.0,5.4033267e-09,0
18,1.0,9.2188985e-09,0
19,0.9999968,3.242632e-06,0
20,1.0,8.2954416e-10,0
21,0.99993646,6.3521096e-05,0
22,1.0,5.4104963e-12,0
23,1.0,5.2173426e-09,0
24,1.0,7.510022e-09,0
25,1.0,4.5716452e-14,0
26,1.0,2.1929079e-08,0
27,0.9999895,1.0513389e-05,0
28,1.0,1.6552676e-09,0
29,1.0,3.3711308e-11,0
30,1.0,9.783185e-10,0
31,1.0,2.31729e-12,0
32,1.0,3.6709535e-11,0
33,0.9999981,1.9069021e-06,0
34,1.0,2.8595183e-08,0
35,1.0,1.511959e-08,0
36,1.0,1.3777456e-10,0
37,0.9999999,1.4797041e-07,0
38,1.0,5.297243e-08,0
39,0.9999896,1.03215525e-05,0
40,1.0,1.7712677e-11,0
41,1.0,4.329532e-12,0
42,1.0,4.557544e-09,0
43,1.0,2.7996808e-10,0
44,1.0,1.0977377e-09,0
45,1.0,1.3093302e-08,0
46,1.0,1.0533684e-10,0
47,1.0,1.864456e-10,0
48,0.9999999,1.5704089e-07,0
49,1.0,1.5710974e-08,0
50,1.0,3.326492e-10,0
51,1.0,8.441389e-10,0
52,1.0,3.0533785e-12,0
53,1.0,1.8618493e-08,0
54,1.0,2.2748223e-10,0
55,1.0,7.664851e-13,0
56,0.9999995,4.310384e-07,0
57,0.99999917,7.853806e-07,0
58,1.0,6.1247625e-11,0
59,1.0,6.128762e-10,0
60,0.9999995,4.5396482e-07,0
61,0.9999999,1.4003732e-07,0
62,1.0,3.742771e-11,0
63,1.0,1.9731626e-08,0
64,1.0,2.2082952e-08,0
65,1.0,2.296613e-09,0
66,1.0,7.688662e-12,0
67,1.0,2.469315e-10,0
68,0.9996605,0.00033955518,0
69,1.0,5.2551172e-08,0
70,1.0,1.6122448e-10,0
71,1.0,5.889604e-09,0
72,0.9999994,5.6542433e-07,0
73,1.0,2.8213416e-11,0
74,1.0,1.201595e-10,0
75,1.0,6.936946e-10,0
76,1.0,3.1097405e-10,0
77,1.0,3.8618098e-10,0
78,1.0,3.815861e-12,0
79,1.0,4.5925386e-08,0
80,1.0,2.5503433e-11,0
81,1.0,8.295035e-09,0
82,1.0,3.8863118e-10,0
83,1.0,1.7460974e-10,0
84,1.0,8.7362215e-09,0
85,1.0,1.020656e-10,0
86,0.9999999,6.853363e-08,0
87,0.9999999,6.525843e-08,0
88,1.0,1.7276312e-11,0
89,1.0,6.385643e-10,0
90,1.0,1.1121757e-10,0
91,1.0,4.7160327e-08,0
92,1.0,4.4842533e-08,0
93,1.0,1.5991407e-09,0
94,1.0,6.3747914e-09,0
95,1.0,6.65623e-12,0
96,1.0,7.512658e-09,0
97,0.9999987,1.3398724e-06,0
98,0.9999994,5.682483e-07,0
99,1.0,6.865721e-10,0
100,1.0,1.5196958e-08,0
101,1.0,5.661366e-08,0
102,1.0,5.9179267e-12,0
103,0.99999964,3.2485795e-07,0
104,0.9999999,9.4254325e-08,0
105,0.9999999,9.866208e-08,0
106,1.0,3.15298e-11,0
107,1.0,3.6272343e-09,0
108,1.0,7.69255e-12,0
109,1.0,1.2931798e-09,0
110,1.0,2.0514035e-09,0
111,1.0,1.2101515e-09,0
112,1.0,2.7155525e-10,0
113,1.0,1.9443165e-09,0
114,1.0,4.2210573e-09,0
115,1.0,6.7672816e-12,0
116,1.0,1.5799866e-08,0
117,1.0,7.618897e-12,0
118,1.0,9.711681e-10,0
119,1.0,3.9792343e-09,0
120,1.0,1.5622596e-10,0
121,1.0,1.5512053e-10,0
122,1.0,5.9506094e-10,0
123,1.0,6.1559774e-10,0
124,1.0,3.9186366e-11,0
125,1.0,4.4733014e-08,0
126,1.0,4.9716998e-11,0
127,1.0,1.8796338e-11,0
128,1.0,2.599754e-09,0
129,1.0,3.6287687e-10,0
130,1.0,6.517289e-11,0
131,1.0,2.3487001e-09,0
132,1.0,8.5716895e-10,0
133,1.0,1.6612746e-12,0
134,1.0,1.12059875e-11,0
135,1.0,5.5917177e-08,0
136,1.0,1.628895e-11,0
137,1.0,9.85108e-10,0
138,1.0,2.3988344e-11,0
139,1.0,1.6187362e-11,0
140,0.9999995,4.300718e-07,0
141,1.0,2.9554028e-12,0
142,1.0,2.6942057e-09,0
143,1.0,5.4265055e-08,0
144,0.99999,1.0061901e-05,0
145,1.0,4.5843593e-10,0
146,1.0,3.1437502e-11,0
147,1.0,2.9285403e-09,0
148,0.9999999,8.936783e-08,0
149,1.0,7.574924e-11,0
150,1.0,7.152758e-09,0
151,1.0,6.543112e-10,0
152,1.0,3.906076e-08,0
153,1.0,7.271997e-09,0
154,1.0,1.9389973e-10,0
155,1.0,3.2976708e-11,0
156,1.0,3.0138437e-11,0
157,0.9999999,1.5985475e-07,0
158,0.999944,5.598302e-05,0
159,0.9999987,1.3033026e-06,0
160,1.0,1.1917853e-09,0
161,1.0,3.0388045e-10,0
162,0.9999999,6.4396374e-08,0
163,1.0,1.4207643e-10,0
164,1.0,7.003436e-09,0
165,1.0,1.5535208e-10,0
166,1.0,4.036249e-10,0
167,1.0,1.490828e-08,0
168,1.0,8.105221e-11,0
169,1.0,9.7259506e-11,0
170,0.99999976,1.79527e-07,0
171,1.0,8.633845e-10,0
172,1.0,9.824913e-12,0
173,1.0,1.668616e-09,0
174,1.0,1.1738328e-08,0
175,1.0,5.584994e-11,0
176,1.0,6.103358e-09,0
177,0.99999654,3.47268e-06,0
178,1.0,6.973404e-09,0
179,1.0,8.519596e-10,0
180,1.0,1.3602764e-11,0
181,1.0,4.9993956e-09,0
182,1.0,3.8891776e-12,0
183,1.0,5.499479e-10,0
184,0.9999304,6.9591086e-05,0
185,1.0,6.655056e-10,0
186,1.0,3.4177965e-08,0
187,1.0,4.755462e-11,0
188,1.0,1.9623066e-10,0
189,1.0,2.8766133e-08,0
190,1.0,1.5286402e-09,0
191,1.0,3.1857742e-11,0
192,1.0,7.949069e-12,0
193,1.0,2.9313874e-11,0
194,1.0,1.5665774e-10,0
195,1.0,2.0702629e-09,0
196,1.0,4.5026457e-08,0
197,1.0,1.2652596e-11,0
198,1.0,2.308148e-10,0
199,1.0,3.2331297e-11,0
200,1.0,1.4030895e-11,0
201,1.0,9.331428e-13,0
202,1.0,1.0784291e-09,0
203,0.99999726,2.752124e-06,0
204,1.0,1.9496409e-10,0
205,1.0,1.5396174e-11,0
206,1.0,1.4163183e-11,0
207,1.0,1.8297606e-11,0
208,1.0,2.9976566e-13,0
209,1.0,2.6979155e-11,0
210,1.0,1.4953527e-09,0
211,1.0,2.9877659e-12,0
212,1.0,2.9186657e-12,0
213,1.0,7.2525416e-11,0
214,1.0,1.7244978e-10,0
215,1.0,1.5610443e-10,0
216,1.0,9.103251e-11,0
217,1.0,1.3255161e-10,0
218,1.0,2.987292e-09,0
219,1.0,1.08741665e-08,0
220,1.0,7.042633e-12,0
221,1.0,1.6520353e-12,0
222,1.0,4.0501085e-13,0
223,1.0,2.1379785e-08,0
224,1.0,8.130707e-11,0
225,1.0,1.4439964e-11,0
226,1.0,4.495709e-09,0
227,1.0,5.18681e-10,0
228,1.0,2.7836204e-11,0
229,1.0,1.6834133e-13,0
230,1.0,3.831331e-11,0
231,1.0,1.3069834e-10,0
232,1.0,3.7891026e-10,0
233,1.0,4.1060493e-13,0
234,1.0,1.667503e-12,0
235,1.0,1.0624337e-11,0
236,1.0,3.8330157e-13,0
237,1.0,6.999329e-11,0
238,1.0,1.608689e-12,0
239,1.0,5.153901e-10,0
240,1.0,2.1239677e-12,0
241,1.0,2.669084e-11,0
242,1.0,2.3918078e-11,0
243,0.999997,2.9313026e-06,0
244,1.0,1.15837765e-11,0
245,1.0,4.980301e-10,0
246,1.0,5.000659e-11,0
247,1.0,7.686954e-14,0
248,1.0,1.8089995e-14,0
249,1.0,1.412138e-10,0
250,1.0,5.60546e-12,0
251,1.0,1.7705143e-11,0
252,0.9999999,1.0095613e-07,0
253,1.0,7.291451e-10,0
254,0.9999989,1.1102926e-06,0
255,1.0,2.813685e-10,0
256,1.0,1.2351398e-10,0
257,1.0,7.069773e-10,0
258,1.0,2.0152165e-13,0
259,1.0,1.1736179e-08,0
260,1.0,1.06132235e-10,0
261,1.0,1.0090926e-09,0
262,1.0,2.8891941e-08,0
263,1.0,7.6416673e-10,0
264,1.0,5.1596903e-08,0
265,0.9999981,1.906673e-06,0
266,1.0,7.5513526e-11,0
267,1.0,1.5996166e-09,0
268,0.9999994,5.6469037e-07,0
269,1.0,2.3714504e-09,0
270,1.0,2.9754624e-10,0
271,0.99999964,3.607989e-07,0
272,1.0,2.3498192e-10,0
273,0.99999976,2.550659e-07,0
274,1.0,1.6903617e-11,0
275,1.0,7.258745e-10,0
276,0.99999964,3.7745505e-07,0
277,1.0,2.584822e-09,0
278,1.0,1.0855267e-08,0
279,1.0,2.6138464e-08,0
280,1.0,8.536851e-11,0
281,1.0,8.813015e-11,0
282,1.0,4.4472525e-08,0
283,1.0,4.098409e-11,0
284,1.0,1.2116874e-09,0
285,1.0,1.5054892e-09,0
286,1.0,2.8446794e-11,0
287,0.99999964,3.284889e-07,0
288,1.0,2.3896178e-12,0
289,0.9999995,5.244323e-07,0
290,0.9999995,4.203785e-07,0
