index,non-parasite output,parasite output,label
0,1.0,4.136165e-08,0
1,1.0,5.2939777e-09,0
2,1.0,2.3086654e-08,0
3,1.0,5.2813437e-08,0
4,1.0,2.104571e-12,0
5,1.0,1.804328e-09,0
6,1.0,6.384836e-11,0
7,1.0,1.8149546e-10,0
8,1.0,2.5963152e-09,0
9,1.0,2.7119114e-08,0
10,1.0,5.2205085e-09,0
11,1.0,3.2219107e-09,0
12,1.0,5.1505826e-09,0
13,1.0,1.9106372e-10,0
14,1.0,6.711267e-11,0
15,1.0,8.6876833e-13,0
16,1.0,3.5300905e-12,0
17,1.0,3.654658e-13,0
18,1.0,2.717437e-11,0
19,1.0,3.9211763e-12,0
20,1.0,3.85446e-09,0
21,1.0,1.8176835e-11,0
22,1.0,4.4648942e-13,0
23,1.0,1.0806663e-11,0
24,1.0,1.2302084e-08,0
25,1.0,6.061798e-10,0
26,1.0,2.0272477e-10,0
27,1.0,3.97942e-11,0
28,1.0,5.038645e-09,0
29,1.0,3.060256e-10,0
30,1.0,5.4543897e-11,0
31,1.0,2.2735544e-11,0
32,1.0,6.737191e-10,0
33,1.0,4.7391767e-13,0
34,1.0,1.2490439e-10,0
35,1.0,5.5366715e-11,0
36,1.0,1.5725333e-12,0
37,1.0,3.5986789e-12,0
38,1.0,5.6065136e-10,0
39,1.0,4.3203654e-09,0
40,1.0,2.5857143e-13,0
41,1.0,8.8172684e-11,0
42,1.0,1.7047797e-11,0
43,1.0,3.7059158e-12,0
44,1.0,6.5275674e-10,0
45,1.0,4.0743797e-11,0
46,1.0,1.12990435e-08,0
47,1.0,1.8194465e-10,0
48,1.0,3.0520452e-12,0
49,1.0,2.073353e-09,0
50,1.0,1.7326e-08,0
51,1.0,3.6252008e-09,0
52,1.0,1.5860425e-09,0
53,1.0,2.8374936e-11,0
54,1.0,1.7367316e-09,0
55,0.99999976,1.8258002e-07,0
56,1.0,1.6624e-08,0
57,1.0,4.167077e-09,0
58,1.0,8.09367e-10,0
59,1.0,5.6667837e-10,0
60,1.0,2.314996e-13,0
61,0.9999999,1.4069862e-07,0
62,1.0,5.6517178e-09,0
63,1.0,5.314117e-10,0
64,1.0,5.0247334e-11,0
65,1.0,7.855651e-12,0
66,1.0,2.8747317e-12,0
67,1.0,1.4525454e-08,0
68,1.0,1.8722416e-11,0
69,1.0,1.3250459e-10,0
70,1.0,4.338897e-09,0
71,1.0,6.2840025e-11,0
72,1.0,1.0615607e-11,0
73,1.0,3.621707e-11,0
74,0.9999999,9.848309e-08,0
75,1.0,3.378733e-11,0
76,1.0,1.8197659e-10,0
