index,non-parasite output,parasite output,label
0,0.99999845,1.5141875e-06,0
1,1.0,3.5235308e-09,0
2,0.99999976,2.5306338e-07,0
3,1.0,5.8002882e-08,0
4,0.999997,2.9999635e-06,0
5,1.0,3.1938526e-08,0
6,1.0,2.7354434e-09,0
7,0.99999976,2.6713374e-07,0
8,1.0,8.3705876e-10,0
9,1.0,3.1452004e-08,0
10,1.0,3.699751e-08,0
11,1.0,9.635163e-11,0
12,1.0,1.5702646e-08,0
13,1.0,3.6035146e-08,0
14,1.0,3.9102447e-11,0
15,1.0,2.0846296e-10,0
16,1.0,5.953732e-10,0
17,1.0,4.847577e-09,0
18,0.9999999,9.007613e-08,0
19,1.0,4.2555386e-11,0
20,1.0,3.3449094e-11,0
21,1.0,1.8205235e-09,0
22,1.0,7.941819e-10,0
23,1.0,2.0066058e-09,0
24,1.0,4.208976e-08,0
25,0.9999999,1.5007228e-07,0
26,1.0,1.0785011e-09,0
27,0.9999999,1.6926718e-07,0
28,1.0,1.4320994e-09,0
29,1.0,3.770765e-08,0
30,0.9999999,9.134606e-08,0
31,1.0,3.8680575e-08,0
32,1.0,4.603147e-09,0
33,1.0,5.608038e-08,0
34,0.99999976,2.2475125e-07,0
35,0.9999995,5.0362456e-07,0
36,1.0,3.860504e-11,0
37,1.0,1.6082747e-16,0
38,0.9999999,1.03626775e-07,0
39,1.0,3.1300586e-16,0
40,1.0,4.984257e-09,0
41,1.0,4.063809e-11,0
42,1.0,1.9682687e-08,0
43,0.99999917,8.490006e-07,0
44,1.0,3.9732355e-09,0
45,1.0,5.590763e-10,0
46,0.99999964,3.9650467e-07,0
47,0.9999999,7.397825e-08,0
48,1.0,8.6285645e-09,0
49,1.0,3.526539e-11,0
50,0.9999999,6.653374e-08,0
51,0.9999999,1.721582e-07,0
52,1.0,9.783096e-09,0
53,0.9999999,1.4354781e-07,0
54,0.9999999,7.4240596e-08,0
55,1.0,1.7275514e-08,0
56,0.9999988,1.2155384e-06,0
57,0.9999988,1.2458164e-06,0
58,0.9999993,7.023738e-07,0
59,1.0,4.0113257e-08,0
60,0.9999987,1.2560544e-06,0
61,1.0,8.140305e-09,0
62,0.9999999,1.134405e-07,0
63,0.9999995,4.4789536e-07,0
64,0.9999999,1.2889406e-07,0
65,0.9999999,8.1438344e-08,0
66,0.9999887,1.1282545e-05,0
67,0.99999964,3.414689e-07,0
68,1.0,3.0163672e-08,0
69,1.0,3.6236127e-08,0
70,1.0,1.4083774e-10,0
71,1.0,2.6474622e-09,0
72,1.0,4.895898e-08,0
73,1.0,1.1723738e-08,0
74,0.9999999,6.371524e-08,0
75,0.9999999,6.3781265e-08,0
76,0.9999962,3.8103015e-06,0
77,1.0,1.822053e-08,0
78,1.0,9.446554e-10,0
79,1.0,2.689963e-10,0
80,1.0,1.2053376e-08,0
81,0.9999999,8.336689e-08,0
82,0.9999999,8.5778474e-08,0
83,1.0,2.6402825e-08,0
84,1.0,2.5490279e-09,0
85,0.99999976,2.9341112e-07,0
86,0.99999964,3.0863856e-07,0
87,1.0,1.8448675e-08,0
88,0.99999976,2.448906e-07,0
89,1.0,7.2783723e-11,0
90,1.0,2.0674504e-08,0
91,1.0,7.4023103e-09,0
92,1.0,4.8330637e-09,0
93,0.9999999,1.0382581e-07,0
94,0.99999964,3.2493136e-07,0
95,1.0,5.5400182e-08,0
96,0.9999999,8.177564e-08,0
97,0.9999999,7.2863834e-08,0
98,0.9999999,9.8663776e-08,0
99,0.9999999,1.6644154e-07,0
100,1.0,3.68992e-08,0
101,0.99999726,2.7341227e-06,0
102,0.99999964,3.120454e-07,0
103,0.9999999,1.1164344e-07,0
104,0.9999995,4.5356583e-07,0
105,0.99999976,2.019318e-07,0
106,0.9999999,7.520675e-08,0
107,1.0,9.639657e-09,0
108,1.0,2.2428441e-08,0
109,0.9999999,1.261847e-07,0
110,1.0,1.665596e-08,0
111,1.0,3.5048515e-08,0
112,0.9999999,7.804277e-08,0
113,0.9999999,1.288852e-07,0
114,0.99999976,1.7920117e-07,0
115,1.0,1.1283381e-09,0
116,1.0,1.7994726e-08,0
117,0.99999976,2.0427042e-07,0
118,0.99999976,2.276366e-07,0
119,1.0,2.7469575e-08,0
120,1.0,1.51354e-08,0
121,1.0,3.1812977e-08,0
122,0.99999976,2.5861902e-07,0
123,0.9999989,1.1000186e-06,0
124,0.99999976,1.8662514e-07,0
125,1.0,2.4690243e-09,0
126,0.99999917,8.3351694e-07,0
127,0.9999999,1.2980416e-07,0
128,0.9999999,1.332246e-07,0
129,1.0,3.423721e-08,0
130,1.0,7.8290185e-10,0
131,1.0,2.4192104e-09,0
132,1.0,5.671306e-09,0
133,1.0,1.0258865e-10,0
134,1.0,2.0382764e-08,0
135,1.0,1.0023218e-08,0
136,1.0,9.135439e-09,0
137,1.0,5.8173065e-08,0
138,0.99999464,5.3808135e-06,0
139,1.0,3.9516976e-08,0
140,1.0,4.295565e-10,0
141,1.0,1.5118025e-09,0
142,1.0,1.3681652e-08,0
143,1.0,2.1322935e-08,0
144,0.9999999,6.674333e-08,0
145,1.0,3.1248817e-08,0
146,0.9999993,7.4823726e-07,0
147,1.0,4.690609e-08,0
148,1.0,1.3538733e-10,0
149,1.0,4.9445006e-08,0
150,1.0,2.4508116e-08,0
151,1.0,9.8385415e-09,0
152,1.0,1.3052161e-08,0
153,1.0,2.1905908e-09,0
154,1.0,5.2459614e-09,0
155,1.0,3.8579117e-08,0
156,0.9999999,1.330744e-07,0
157,1.0,1.7851216e-08,0
158,1.0,3.2590705e-08,0
159,1.0,2.551432e-08,0
160,0.9999976,2.3876216e-06,0
161,1.0,1.2196684e-09,0
162,0.9999999,1.6836175e-07,0
163,1.0,1.7450736e-08,0
164,1.0,1.382178e-10,0
165,1.0,2.1441358e-09,0
166,0.9999995,4.4010943e-07,0
167,1.0,1.7770999e-09,0
168,1.0,2.2902524e-09,0
169,1.0,2.1886459e-08,0
170,1.0,1.111176e-08,0
171,1.0,3.1837864e-08,0
172,0.9999999,9.116713e-08,0
173,1.0,4.7983346e-13,0
174,1.0,3.1752063e-15,0
175,1.0,3.2292918e-10,0
176,0.9999999,1.3769753e-07,0
177,0.9999994,5.740678e-07,0
178,0.9999999,1.2374761e-07,0
179,1.0,9.830553e-16,0
180,0.99999976,2.247671e-07,0
181,0.99999917,7.791083e-07,0
182,1.0,2.6818489e-17,0
183,1.0,1.469862e-14,0
184,0.9999987,1.2771965e-06,0
185,0.9999999,8.94606e-08,0
186,0.9999968,3.1666646e-06,0
187,0.99999976,2.4244966e-07,0
188,1.0,1.8908777e-11,0
189,1.0,2.6372327e-08,0
190,0.9999995,4.371124e-07,0
191,0.99995184,4.815111e-05,0
192,0.99999964,3.561221e-07,0
193,0.9999995,5.152934e-07,0
194,1.0,1.0882502e-09,0
195,1.0,5.7822996e-10,0
196,1.0,3.3714107e-09,0
197,1.0,8.7846236e-10,0
198,1.0,5.930464e-10,0
199,1.0,8.896723e-10,0
200,0.9999976,2.4049875e-06,0
201,0.99999917,8.5821324e-07,0
202,1.0,1.1425121e-09,0
203,1.0,3.244108e-10,0
204,0.9999993,6.9194493e-07,0
205,0.9999999,1.6374332e-07,0
206,0.9999989,1.0631386e-06,0
207,0.9999993,7.176531e-07,0
208,1.0,1.199312e-10,0
209,1.0,2.2910696e-09,0
210,1.0,1.1765534e-09,0
211,1.0,2.1433681e-08,0
212,0.99999976,1.8620133e-07,0
213,1.0,3.6025645e-09,0
214,0.9999999,7.9258456e-08,0
215,1.0,2.3152007e-08,0
216,0.99999964,2.9972213e-07,0
217,1.0,2.3542224e-08,0
218,1.0,1.9571278e-08,0
219,1.0,5.0153237e-10,0
