index,non-parasite output,parasite output,label
0,1.0,1.4692602e-13,0
1,1.0,1.5018623e-11,0
2,1.0,3.2201962e-13,0
3,1.0,3.7908224e-14,0
4,1.0,3.312027e-13,0
5,0.99999857,1.3945041e-06,0
6,0.9951047,0.0048953565,0
7,1.0,1.2126698e-13,0
8,1.0,5.8918675e-11,0
9,1.0,1.2375787e-09,0
10,0.9999999,6.823312e-08,0
11,1.0,3.1465368e-09,0
12,0.98020977,0.019790184,0
13,0.9999976,2.4157087e-06,0
14,1.0,2.6459213e-10,0
15,0.9999999,9.4317805e-08,0
16,1.0,3.3423136e-11,0
17,1.0,4.208372e-09,0
18,1.0,3.1872922e-08,0
19,0.99999976,2.1983988e-07,0
20,1.0,2.9768046e-12,0
21,1.0,3.2516784e-10,0
22,1.0,1.977284e-12,0
23,1.0,2.7247282e-08,0
24,1.0,1.6062326e-09,0
25,1.0,1.4201156e-08,0
26,1.0,1.6392887e-08,0
27,1.0,1.1660315e-08,0
28,1.0,7.337011e-11,0
29,1.0,4.126689e-10,0
30,1.0,7.2174315e-12,0
31,1.0,1.9987885e-11,0
32,1.0,6.474451e-09,0
33,1.0,2.5790405e-09,0
34,0.99999917,8.2319116e-07,0
35,1.0,4.004854e-10,0
36,1.0,2.5571063e-09,0
37,1.0,4.798344e-09,0
38,1.0,9.64546e-11,0
39,0.99983656,0.00016337058,0
40,1.0,6.14275e-09,0
41,0.99999857,1.4299407e-06,0
42,0.9999999,9.10415e-08,0
43,1.0,2.6669225e-10,0
44,1.0,5.7489975e-11,0
45,0.9997923,0.00020770277,0
46,1.0,2.761949e-10,0
47,1.0,1.6148876e-11,0
48,1.0,1.1748159e-12,0
49,1.0,2.1754066e-12,0
50,0.99999845,1.5725716e-06,0
51,0.999984,1.6008136e-05,0
52,1.0,9.486335e-09,0
53,1.0,1.3067622e-13,0
54,1.0,2.7107297e-10,0
55,1.0,9.617251e-13,0
56,0.9999993,6.989093e-07,0
57,1.0,2.9159061e-08,0
58,1.0,6.600319e-10,0
59,1.0,2.6183744e-10,0
60,1.0,2.0378566e-08,0
61,0.9999999,1.7618115e-07,0
62,1.0,1.7048871e-11,0
63,1.0,5.4669092e-11,0
64,0.9995419,0.00045820416,0
65,1.0,4.8023585e-11,0
66,0.9999994,6.285054e-07,0
67,1.0,1.4911224e-10,0
68,1.0,7.755146e-12,0
69,1.0,5.5046922e-11,0
70,1.0,1.0277345e-08,0
71,1.0,2.613613e-11,0
72,1.0,6.1449035e-10,0
73,0.99999416,5.8178e-06,0
74,0.9998246,0.00017545039,0
75,1.0,2.083426e-13,0
76,1.0,9.001805e-09,0
77,0.9999994,5.386489e-07,0
78,1.0,2.4122964e-11,0
79,1.0,1.0303595e-14,0
80,1.0,5.556322e-13,0
81,1.0,1.6568105e-11,0
82,1.0,2.657981e-13,0
83,1.0,1.1693678e-12,0
84,1.0,1.2249543e-08,0
85,0.9941366,0.0058633923,0
86,1.0,8.646852e-09,0
87,1.0,1.9997429e-10,0
88,1.0,7.1322987e-12,0
89,1.0,8.2940294e-11,0
90,1.0,5.430041e-10,0
91,1.0,1.1224078e-12,0
92,1.0,7.773462e-09,0
93,1.0,1.26059605e-11,0
94,1.0,5.884731e-09,0
95,1.0,1.9919351e-10,0
96,1.0,5.8324128e-09,0
97,1.0,1.1596737e-10,0
98,0.9999999,9.164658e-08,0
99,0.999998,1.986288e-06,0
100,1.0,5.6796733e-13,0
101,1.0,1.3286643e-11,0
102,1.0,2.5271116e-10,0
103,1.0,3.6487378e-09,0
104,0.99995923,4.0761846e-05,0
105,1.0,1.8558071e-09,0
106,0.9999988,1.1332236e-06,0
107,1.0,6.860177e-12,0
108,0.9999976,2.3386558e-06,0
109,1.0,3.3947285e-14,0
110,0.99993634,6.36019e-05,0
111,1.0,2.2471024e-10,0
112,1.0,1.4005995e-12,0
113,1.0,2.8829257e-11,0
114,1.0,7.9472505e-12,0
115,1.0,4.0703695e-12,0
116,1.0,6.7759937e-10,0
117,1.0,1.3714167e-10,0
118,1.0,3.8950575e-12,0
119,1.0,9.577794e-11,0
120,1.0,9.084306e-12,0
121,1.0,6.515219e-13,0
122,1.0,9.445175e-12,0
123,1.0,4.653012e-13,0
124,1.0,1.42276494e-11,0
125,1.0,1.025846e-09,0
126,1.0,6.0101777e-09,0
127,1.0,4.2819186e-11,0
128,1.0,2.0077302e-14,0
129,0.9998826,0.000117378695,0
130,1.0,3.5138126e-09,0
131,1.0,2.96237e-10,0
132,0.9999995,5.285813e-07,0
133,0.99999607,3.987187e-06,0
134,0.99999964,3.2129714e-07,0
135,1.0,4.1933044e-11,0
136,1.0,1.2312518e-10,0
137,1.0,5.684534e-11,0
138,1.0,5.279779e-13,0
