index,non-parasite output,parasite output,label
0,0.9999994,6.1688064e-07,0
1,0.99999976,2.1179008e-07,0
2,1.0,4.193734e-12,0
3,1.0,1.503423e-09,0
4,1.0,4.3772763e-12,0
5,0.99999857,1.4719869e-06,0
6,1.0,1.0064174e-12,0
7,1.0,5.4262775e-12,0
8,1.0,3.7023625e-08,0
9,1.0,2.423985e-10,0
10,1.0,5.6306175e-13,0
11,1.0,1.8611275e-13,0
12,0.9998332,0.00016670379,0
13,0.99999976,2.2699601e-07,0
14,1.0,4.618845e-13,0
15,1.0,4.2979864e-12,0
16,1.0,2.230584e-11,0
17,0.99998116,1.8877257e-05,0
18,1.0,6.042165e-13,0
19,0.9999249,7.506029e-05,0
20,1.0,1.1099585e-11,0
21,1.0,1.5344396e-08,0
22,1.0,1.2288482e-08,0
23,1.0,1.3263513e-09,0
24,0.9999987,1.3352254e-06,0
25,0.9999869,1.3058759e-05,0
26,1.0,2.7438168e-11,0
27,1.0,1.1529426e-10,0
28,1.0,3.8689277e-12,0
29,1.0,3.4206334e-08,0
30,1.0,5.038121e-11,0
31,0.9999604,3.9542087e-05,0
32,1.0,3.7300843e-08,0
33,1.0,2.4896127e-10,0
34,1.0,4.7818802e-09,0
35,0.9999584,4.1618525e-05,0
36,1.0,6.5947475e-13,0
37,1.0,3.8763363e-12,0
38,0.9999715,2.8494944e-05,0
39,0.9999976,2.3300072e-06,0
40,0.99976724,0.00023271056,0
41,0.9999981,1.8693935e-06,0
42,1.0,1.8107293e-10,0
43,1.0,7.777573e-12,0
44,1.0,1.3568124e-14,0
45,1.0,3.2375031e-12,0
46,1.0,7.698289e-12,0
47,0.99999285,7.0959177e-06,0
48,1.0,1.07540296e-10,0
49,1.0,5.941633e-12,0
50,1.0,4.2942809e-13,0
51,0.99964476,0.00035522843,0
52,1.0,2.7892462e-09,0
53,0.9999584,4.1603165e-05,0
54,1.0,2.1681123e-08,0
55,0.9999975,2.5226414e-06,0
56,1.0,1.3876036e-10,0
57,0.99999976,2.10898e-07,0
58,1.0,1.4105012e-14,0
59,1.0,1.974163e-09,0
60,1.0,2.5770377e-10,0
61,0.99989676,0.000103197526,0
62,1.0,2.643699e-12,0
63,1.0,1.4133086e-12,0
64,1.0,1.1567444e-10,0
65,1.0,4.1844035e-11,0
66,1.0,3.940139e-11,0
67,0.9999993,7.7133683e-07,0
68,1.0,6.337408e-15,0
69,1.0,2.1157045e-11,0
70,1.0,5.4580323e-11,0
71,1.0,7.810692e-09,0
72,1.0,4.5976975e-13,0
73,1.0,3.689223e-08,0
74,1.0,2.587683e-13,0
75,1.0,4.4832333e-09,0
76,1.0,1.7487295e-11,0
