index,non-parasite output,parasite output,label
0,1.0,1.9291645e-12,0
1,1.0,7.027562e-09,0
2,1.0,1.064211e-10,0
3,0.9999951,4.904225e-06,0
4,1.0,2.6411422e-13,0
5,0.9999981,1.9198724e-06,0
6,1.0,3.5526837e-09,0
7,1.0,1.1332038e-09,0
8,1.0,1.5345644e-13,0
9,1.0,2.4088e-09,0
10,1.0,1.1085456e-10,0
11,1.0,1.2199527e-12,0
12,1.0,5.263636e-11,0
13,1.0,4.1473563e-13,0
14,1.0,1.6703658e-11,0
15,1.0,3.2434214e-10,0
16,1.0,5.024966e-10,0
17,1.0,4.886351e-13,0
18,1.0,3.6770358e-11,0
19,1.0,9.735007e-11,0
20,1.0,1.5581768e-10,0
21,1.0,9.6410215e-12,0
22,1.0,1.1350549e-10,0
23,1.0,4.2013636e-12,0
24,1.0,1.8273011e-12,0
25,1.0,2.6063152e-11,0
26,1.0,2.697396e-11,0
27,1.0,9.979493e-13,0
28,1.0,2.2745152e-13,0
29,1.0,8.505199e-09,0
30,1.0,1.4777283e-09,0
31,1.0,1.1517771e-11,0
32,1.0,7.576961e-11,0
33,1.0,8.274452e-11,0
34,1.0,1.5426444e-08,0
35,1.0,2.1973741e-13,0
36,1.0,3.3954118e-12,0
37,1.0,1.1693778e-14,0
38,1.0,1.4478811e-09,0
39,1.0,2.4306621e-09,0
40,1.0,5.6791564e-12,0
41,1.0,2.2773814e-12,0
42,1.0,1.8913603e-12,0
43,1.0,2.192907e-09,0
44,1.0,2.2851113e-10,0
45,1.0,3.5672514e-11,0
46,1.0,9.245918e-15,0
47,1.0,9.073713e-11,0
48,1.0,2.147461e-11,0
49,1.0,2.4131958e-13,0
50,1.0,3.008478e-12,0
51,1.0,1.694379e-09,0
52,1.0,1.8895133e-13,0
53,1.0,2.0809986e-10,0
54,1.0,8.544931e-11,0
55,1.0,4.0555523e-12,0
56,1.0,1.4145931e-11,0
57,1.0,1.2884022e-11,0
58,1.0,2.0752502e-11,0
59,1.0,2.99366e-11,0
60,1.0,1.9031165e-13,0
61,1.0,4.424098e-11,0
62,1.0,2.723838e-13,0
63,1.0,2.4137884e-14,0
64,1.0,2.3209804e-11,0
65,1.0,2.3914976e-11,0
66,1.0,1.0943526e-10,0
67,1.0,1.611951e-12,0
68,1.0,3.7601317e-10,0
69,1.0,1.5360836e-10,0
70,1.0,7.984898e-09,0
71,1.0,1.8809159e-09,0
72,1.0,1.6085558e-10,0
73,1.0,4.54833e-13,0
74,1.0,3.315758e-12,0
75,1.0,3.972428e-11,0
76,1.0,4.476045e-10,0
77,1.0,2.4445857e-14,0
78,1.0,2.7106675e-10,0
79,1.0,1.1333987e-12,0
80,1.0,2.6761633e-12,0
81,1.0,6.394952e-11,0
82,1.0,8.4902996e-10,0
83,1.0,6.2095395e-10,0
84,1.0,1.4118544e-11,0
85,1.0,4.7322237e-12,0
86,0.9999999,8.649445e-08,0
87,1.0,1.3220675e-13,0
88,1.0,9.276309e-13,0
89,1.0,4.0123336e-09,0
90,1.0,1.4444751e-12,0
91,1.0,6.1306994e-11,0
92,0.99999607,3.94816e-06,0
93,1.0,2.2159381e-10,0
94,1.0,1.4172694e-11,0
95,1.0,1.6955734e-11,0
96,1.0,3.487021e-12,0
97,1.0,2.174999e-13,0
98,1.0,6.0503706e-11,0
99,1.0,6.5812264e-13,0
100,1.0,1.2181437e-12,0
101,1.0,3.0601357e-12,0
102,1.0,2.991876e-13,0
103,1.0,1.804734e-13,0
104,1.0,3.971716e-11,0
105,1.0,3.5642537e-14,0
106,1.0,2.9852907e-14,0
107,1.0,3.736189e-14,0
108,1.0,9.5462267e-14,0
109,1.0,5.4328455e-11,0
110,1.0,7.5582157e-10,0
111,1.0,3.4031922e-12,0
112,1.0,1.6148437e-12,0
113,1.0,3.312779e-13,0
114,1.0,2.7166518e-13,0
115,1.0,3.2980452e-13,0
116,1.0,1.3137603e-12,0
117,1.0,2.8218795e-15,0
118,1.0,6.9586687e-13,0
119,0.9999999,9.961547e-08,0
120,1.0,8.25612e-14,0
121,1.0,5.2264728e-14,0
122,1.0,8.476727e-13,0
123,1.0,2.103302e-09,0
124,1.0,1.3814492e-12,0
125,1.0,1.6307134e-11,0
126,1.0,1.948661e-12,0
127,1.0,6.510362e-13,0
128,0.99999535,4.674703e-06,0
129,1.0,6.045517e-14,0
130,1.0,6.1504165e-13,0
131,1.0,2.6037202e-12,0
132,1.0,1.4716378e-14,0
133,1.0,8.786231e-14,0
134,1.0,5.9099115e-14,0
135,1.0,3.7411354e-08,0
136,1.0,4.996909e-12,0
137,1.0,8.1216473e-13,0
138,1.0,2.28563e-10,0
139,1.0,8.3036605e-13,0
140,1.0,4.1449383e-12,0
141,1.0,2.9927139e-10,0
142,1.0,2.505969e-13,0
143,1.0,2.0870453e-13,0
144,1.0,1.1949418e-10,0
145,1.0,6.8684174e-14,0
146,1.0,4.699497e-10,0
147,1.0,3.2843541e-09,0
148,1.0,6.387774e-14,0
149,1.0,2.6067837e-10,0
150,1.0,4.3753125e-13,0
151,1.0,7.284952e-12,0
152,1.0,3.2923271e-12,0
153,1.0,3.2116504e-10,0
154,1.0,2.4584638e-14,0
155,1.0,1.822928e-09,0
156,1.0,6.204558e-13,0
157,1.0,5.706046e-10,0
158,1.0,5.6434984e-13,0
159,1.0,1.0022716e-09,0
160,1.0,1.4360902e-13,0
161,1.0,1.2290556e-10,0
162,1.0,2.6786437e-13,0
163,1.0,1.5583795e-13,0
164,1.0,5.0095036e-13,0
165,1.0,1.1079568e-12,0
166,1.0,5.8978885e-13,0
167,1.0,3.5062901e-15,0
168,1.0,2.9163176e-12,0
169,1.0,8.731823e-13,0
170,1.0,1.023148e-08,0
171,1.0,1.08168384e-13,0
172,1.0,3.828488e-08,0
173,1.0,4.7379115e-13,0
174,1.0,6.935692e-13,0
175,1.0,2.246125e-14,0
176,1.0,3.6229714e-11,0
177,1.0,1.879371e-12,0
178,1.0,2.1111033e-09,0
179,1.0,3.1387096e-12,0
180,1.0,2.7435565e-10,0
181,1.0,1.324929e-11,0
182,1.0,2.6846308e-11,0
183,1.0,2.8034492e-13,0
184,1.0,4.1760023e-10,0
185,1.0,4.522989e-10,0
186,1.0,9.128655e-11,0
187,1.0,1.2648983e-10,0
188,0.9999999,1.3998871e-07,0
189,1.0,3.4378826e-11,0
190,1.0,1.2258539e-12,0
191,1.0,2.297166e-12,0
192,1.0,8.063945e-14,0
193,0.99999666,3.2968696e-06,0
194,1.0,5.5785243e-10,0
195,1.0,9.150785e-13,0
196,0.9999999,8.604491e-08,0
197,1.0,2.9868984e-13,0
198,1.0,6.109882e-12,0
199,1.0,3.8224684e-08,0
200,1.0,1.0409206e-12,0
201,1.0,1.1567974e-10,0
202,1.0,1.8997482e-12,0
203,1.0,6.6584454e-14,0
204,1.0,4.2184773e-11,0
205,1.0,6.7246886e-13,0
206,1.0,9.069841e-10,0
207,1.0,3.142688e-08,0
208,1.0,7.44077e-13,0
209,1.0,1.9651607e-10,0
210,1.0,2.1293244e-10,0
211,1.0,9.9914175e-09,0
212,1.0,3.7524313e-13,0
213,1.0,2.5008264e-13,0
214,1.0,5.137016e-12,0
215,1.0,1.8185505e-11,0
216,1.0,1.2815037e-10,0
217,0.99991584,8.412012e-05,0
218,0.9999995,4.792959e-07,0
219,0.99999845,1.5641508e-06,0
220,1.0,3.460408e-11,0
221,1.0,1.5251635e-12,0
222,1.0,1.7500276e-11,0
223,1.0,5.382109e-12,0
224,1.0,3.5554e-10,0
225,1.0,1.3433968e-13,0
226,0.9999999,6.26998e-08,0
227,1.0,1.4500629e-11,0
228,1.0,1.7108531e-13,0
229,1.0,1.6037392e-11,0
230,1.0,8.3006676e-13,0
231,1.0,8.601869e-11,0
232,1.0,3.344573e-10,0
233,1.0,2.7757774e-12,0
234,1.0,1.6703052e-11,0
235,1.0,1.9458997e-10,0
236,1.0,5.9916286e-15,0
237,1.0,5.61726e-10,0
238,1.0,1.2435884e-10,0
239,0.9999999,8.271228e-08,0
240,1.0,1.649367e-10,0
241,1.0,3.3896934e-11,0
242,1.0,2.474256e-10,0
243,1.0,1.5964594e-12,0
244,1.0,1.2251334e-13,0
245,1.0,6.85198e-15,0
246,1.0,5.6978506e-12,0
247,1.0,3.2395694e-10,0
248,1.0,1.9206312e-09,0
249,1.0,1.3858671e-12,0
250,0.9998976,0.00010239169,0
251,1.0,3.4314034e-11,0
252,1.0,1.8821469e-09,0
253,1.0,2.1334332e-11,0
254,1.0,8.375019e-12,0
255,1.0,3.2863579e-10,0
256,1.0,5.9671205e-11,0
257,1.0,4.267999e-15,0
258,1.0,7.0642285e-15,0
259,1.0,1.1569104e-13,0
260,1.0,1.6101073e-12,0
261,0.999998,2.015377e-06,0
262,1.0,2.0121064e-12,0
263,1.0,1.7083432e-12,0
264,1.0,7.892028e-15,0
265,1.0,9.224507e-13,0
266,1.0,7.320761e-09,0
267,1.0,1.7154556e-11,0
268,1.0,2.8070996e-12,0
269,1.0,2.1613316e-09,0
270,1.0,1.5650033e-14,0
271,1.0,4.540464e-11,0
272,1.0,2.4485732e-12,0
273,1.0,1.1497122e-14,0
274,1.0,5.108229e-13,0
275,1.0,4.797021e-11,0
276,1.0,4.861755e-12,0
277,1.0,6.271704e-15,0
278,1.0,7.398738e-13,0
279,1.0,3.9079467e-08,0
280,1.0,1.842382e-11,0
281,1.0,6.390455e-14,0
282,1.0,1.1520451e-11,0
283,1.0,1.4145197e-08,0
284,1.0,1.2292771e-12,0
285,1.0,8.751088e-15,0
286,0.9999838,1.6263528e-05,0
287,1.0,1.4849436e-14,0
288,1.0,6.516922e-13,0
289,1.0,7.087727e-11,0
290,0.9999999,1.3985473e-07,0
291,0.9999851,1.4916103e-05,0
292,0.9999968,3.2398746e-06,0
293,1.0,4.8913473e-10,0
294,1.0,9.006497e-12,0
295,1.0,2.7947574e-13,0
296,1.0,1.7428956e-11,0
297,1.0,5.199768e-13,0
298,0.9999994,5.816263e-07,0
299,1.0,1.2531066e-08,0
300,1.0,3.8606916e-13,0
301,1.0,2.4014519e-12,0
302,1.0,1.6957521e-10,0
303,1.0,1.7732443e-08,0
304,1.0,1.1821589e-09,0
305,1.0,8.970883e-13,0
306,1.0,5.201492e-10,0
307,1.0,3.3797498e-12,0
308,1.0,2.1051991e-14,0
309,1.0,1.927446e-09,0
310,1.0,1.9158125e-13,0
311,1.0,1.3762157e-12,0
312,1.0,2.2908072e-13,0
313,1.0,6.699066e-11,0
314,1.0,2.6387657e-13,0
315,1.0,4.0536116e-12,0
316,1.0,1.195344e-12,0
317,1.0,3.0265492e-09,0
318,1.0,1.0844159e-11,0
319,1.0,8.944583e-14,0
320,1.0,7.42486e-10,0
321,1.0,3.2675473e-12,0
322,1.0,4.7637003e-13,0
323,1.0,4.421167e-09,0
324,1.0,1.4018122e-13,0
325,0.99999976,1.8229468e-07,0
326,1.0,1.10377995e-13,0
327,1.0,1.0431949e-11,0
328,1.0,4.4734862e-13,0
329,1.0,7.726946e-12,0
330,0.99999297,7.0423225e-06,0
331,1.0,2.009329e-09,0
332,1.0,7.0999708e-15,0
333,1.0,3.2612216e-12,0
334,1.0,2.3089527e-11,0
335,1.0,2.9956508e-09,0
336,1.0,1.0587802e-15,0
337,1.0,1.1323007e-09,0
338,1.0,9.890993e-14,0
339,1.0,2.930589e-14,0
340,1.0,2.1396539e-13,0
341,1.0,8.7402836e-14,0
342,1.0,2.5391928e-12,0
343,0.9999958,4.1264793e-06,0
344,0.99999976,2.3080058e-07,0
345,1.0,1.0159759e-12,0
346,1.0,3.4510326e-09,0
347,1.0,2.5484384e-10,0
348,1.0,1.5244148e-10,0
349,1.0,2.4399543e-11,0
350,0.9999893,1.0753511e-05,0
351,1.0,4.76602e-12,0
352,1.0,2.4236278e-11,0
353,1.0,2.8279777e-12,0
354,1.0,1.0777145e-11,0
355,1.0,2.570109e-12,0
356,1.0,1.04030865e-13,0
357,0.9999927,7.246188e-06,0
358,1.0,1.5043575e-10,0
359,1.0,5.8777755e-13,0
360,1.0,4.7732343e-12,0
361,1.0,1.927468e-09,0
362,1.0,2.0333834e-12,0
363,1.0,6.6797425e-13,0
364,1.0,1.391085e-11,0
365,1.0,1.1637014e-11,0
366,1.0,6.030706e-14,0
367,0.99760795,0.0023920953,0
368,1.0,9.531594e-15,0
369,1.0,3.4298107e-09,0
370,1.0,2.2466714e-12,0
371,1.0,8.6041296e-12,0
372,1.0,2.0536956e-11,0
373,1.0,8.863405e-14,0
374,1.0,2.8176444e-13,0
375,1.0,9.0863074e-14,0
376,1.0,3.5268452e-13,0
377,1.0,2.357264e-12,0
378,1.0,1.721196e-13,0
379,1.0,4.348235e-12,0
380,1.0,5.026077e-14,0
381,1.0,1.1204522e-13,0
382,1.0,3.2197266e-11,0
383,1.0,8.130629e-15,0
384,1.0,1.1440516e-09,0
385,1.0,3.3710824e-13,0
386,1.0,1.9439993e-11,0
387,1.0,3.7328506e-13,0
388,1.0,2.4809108e-09,0
389,1.0,1.6593484e-13,0
390,1.0,1.3224622e-15,0
391,1.0,3.610755e-14,0
392,1.0,1.01926245e-11,0
393,1.0,7.8644773e-13,0
394,1.0,1.1818833e-10,0
395,1.0,5.1829722e-14,0
396,1.0,3.680532e-14,0
397,0.99999976,1.807419e-07,0
398,0.99993014,6.9799244e-05,0
399,0.99999976,2.789594e-07,0
400,1.0,6.1736965e-14,0
401,1.0,1.0934364e-14,0
402,1.0,1.4668817e-11,0
403,1.0,3.5530303e-12,0
404,1.0,1.4189275e-11,0
405,0.9989856,0.0010143771,0
406,1.0,1.0256157e-08,0
407,1.0,4.5474537e-13,0
408,1.0,2.131868e-14,0
409,1.0,3.0506386e-11,0
410,1.0,1.3609933e-10,0
411,1.0,2.7035908e-12,0
412,1.0,1.9865065e-13,0
413,1.0,1.1089844e-12,0
414,1.0,1.3155708e-12,0
415,1.0,1.4171268e-10,0
416,1.0,2.2784555e-15,0
417,1.0,4.1008603e-13,0
418,1.0,6.0142256e-13,0
419,1.0,6.115496e-14,0
420,1.0,4.767461e-14,0
421,1.0,3.0466568e-10,0
422,0.999869,0.00013104406,0
423,1.0,3.6259367e-15,0
424,1.0,6.8259145e-16,0
425,1.0,4.4358045e-13,0
426,1.0,7.259316e-13,0
427,1.0,4.5145748e-11,0
428,1.0,2.1273866e-15,0
429,1.0,3.9317196e-13,0
430,1.0,4.4448434e-12,0
431,1.0,1.3179416e-12,0
432,1.0,3.5234296e-13,0
433,1.0,4.3905712e-12,0
434,1.0,8.983914e-13,0
435,1.0,5.9517665e-14,0
436,1.0,1.4969383e-14,0
437,1.0,5.174645e-10,0
438,1.0,2.3871087e-15,0
439,1.0,4.2043037e-13,0
440,1.0,1.6059851e-12,0
441,1.0,1.3902154e-14,0
442,1.0,2.0267255e-14,0
443,1.0,3.5901193e-14,0
444,1.0,9.025624e-11,0
445,1.0,4.434088e-09,0
446,1.0,6.291273e-14,0
447,1.0,6.0191346e-10,0
448,1.0,2.7241226e-10,0
449,1.0,5.861134e-11,0
450,1.0,3.5352152e-10,0
451,1.0,2.903207e-13,0
452,1.0,4.562945e-13,0
453,1.0,5.903702e-11,0
454,1.0,1.194822e-12,0
455,1.0,9.216936e-15,0
456,0.9999988,1.1659491e-06,0
457,1.0,2.1009041e-13,0
458,1.0,5.4817336e-12,0
459,1.0,1.0033703e-11,0
460,1.0,1.507747e-14,0
461,1.0,5.206412e-15,0
462,1.0,2.9078457e-09,0
463,1.0,4.8460856e-14,0
464,1.0,2.3425001e-12,0
465,1.0,8.3035656e-13,0
466,1.0,4.0399285e-11,0
467,1.0,5.5910667e-12,0
468,1.0,3.5104694e-13,0
469,1.0,9.7663206e-12,0
470,1.0,9.961328e-14,0
471,0.9999999,1.3492685e-07,0
472,1.0,2.1196265e-11,0
473,1.0,8.6257744e-11,0
474,1.0,4.449333e-11,0
475,1.0,2.3341211e-11,0
476,1.0,4.1554824e-12,0
477,1.0,6.08864e-12,0
478,1.0,1.0126364e-09,0
479,1.0,4.2222223e-10,0
480,1.0,1.4508071e-11,0
481,1.0,2.0785709e-10,0
482,1.0,7.489884e-12,0
483,1.0,2.1916533e-12,0
484,1.0,3.9952713e-10,0
485,1.0,1.6350216e-10,0
486,1.0,5.0676255e-13,0
487,1.0,2.1108493e-13,0
488,1.0,5.924788e-10,0
489,1.0,2.2148058e-10,0
490,1.0,4.3014106e-10,0
491,0.9999895,1.0506213e-05,0
492,1.0,2.920041e-12,0
493,0.9999572,4.285188e-05,0
494,1.0,8.7807913e-13,0
495,1.0,1.4486233e-10,0
496,1.0,1.7330833e-11,0
497,1.0,4.6597593e-14,0
498,1.0,8.2935145e-13,0
499,1.0,9.150161e-12,0
500,1.0,2.502974e-13,0
501,1.0,2.7648358e-11,0
502,0.9999999,7.549708e-08,0
503,1.0,1.689514e-11,0
504,1.0,4.487923e-12,0
505,1.0,2.1677843e-13,0
506,1.0,4.8744615e-14,0
507,1.0,2.8399304e-11,0
508,1.0,1.5134874e-09,0
509,1.0,2.0812948e-15,0
510,1.0,3.4995637e-14,0
511,1.0,2.0361078e-12,0
512,1.0,4.145447e-11,0
513,1.0,4.5767928e-14,0
514,1.0,6.365169e-09,0
515,1.0,8.991573e-10,0
516,1.0,5.3096794e-10,0
517,1.0,4.8035293e-08,0
518,1.0,2.619295e-09,0
519,1.0,4.0090535e-12,0
520,1.0,3.903428e-10,0
521,0.9999982,1.7736625e-06,0
522,0.9999969,3.142873e-06,0
523,0.9967145,0.0032855866,0
524,1.0,3.487108e-08,0
525,1.0,1.1197554e-10,0
526,1.0,1.6460035e-11,0
527,1.0,7.497755e-13,0
528,0.9999999,8.003031e-08,0
529,1.0,2.3809694e-08,0
530,0.99999964,4.0879857e-07,0
531,1.0,7.3848483e-10,0
532,1.0,2.1081316e-11,0
533,0.9999989,1.0311214e-06,0
534,1.0,7.417963e-11,0
535,1.0,5.7194044e-10,0
536,0.9999999,1.04932525e-07,0
537,1.0,1.0828673e-08,0
538,0.9999975,2.5227353e-06,0
539,1.0,3.4813843e-09,0
540,0.9999999,7.476667e-08,0
541,1.0,3.4946e-11,0
542,1.0,3.2224023e-09,0
543,0.9999999,1.4517704e-07,0
544,0.9999995,4.910436e-07,0
545,1.0,9.753174e-13,0
546,1.0,1.5692406e-08,0
547,0.9999869,1.3073139e-05,0
548,1.0,3.0017258e-12,0
549,1.0,7.718141e-11,0
550,0.9999995,4.6490936e-07,0
551,1.0,1.7981397e-10,0
552,1.0,8.508245e-10,0
553,1.0,1.9768815e-11,0
554,1.0,3.6974698e-13,0
555,0.9999999,1.2992133e-07,0
556,0.9999969,3.0885813e-06,0
