index,non-parasite output,parasite output,label
0,1.0,1.1862324e-11,0
1,0.9999999,8.01331e-08,0
2,0.9999813,1.8674724e-05,0
3,1.0,1.8261574e-09,0
4,0.9999999,1.09740576e-07,0
5,0.99999917,8.4260813e-07,0
6,1.0,3.746487e-10,0
7,1.0,7.1204327e-12,0
8,1.0,8.604064e-12,0
9,1.0,9.158105e-12,0
10,1.0,6.6082265e-11,0
11,0.9999945,5.515711e-06,0
12,1.0,9.606628e-11,0
13,1.0,4.749622e-12,0
14,1.0,4.1487512e-12,0
15,0.9999999,1.1652272e-07,0
16,1.0,3.1723554e-11,0
17,0.99999106,8.938911e-06,0
18,0.9999999,6.2996484e-08,0
19,1.0,8.5748125e-10,0
20,0.9999982,1.7684266e-06,0
21,0.99999774,2.2244367e-06,0
22,0.9999726,2.7432006e-05,0
23,1.0,1.8856154e-08,0
24,1.0,1.7271385e-09,0
25,1.0,2.1100868e-11,0
26,0.9999957,4.2534334e-06,0
27,1.0,5.1637557e-12,0
28,0.9999964,3.5396492e-06,0
29,1.0,5.4162494e-11,0
30,0.9999999,1.1055046e-07,0
31,1.0,2.1119824e-08,0
32,1.0,2.0604383e-09,0
33,1.0,4.6089042e-08,0
34,0.9999919,8.049498e-06,0
35,1.0,5.3758123e-11,0
36,1.0,1.1351204e-09,0
37,1.0,1.5645595e-09,0
38,1.0,2.735433e-09,0
39,1.0,1.2839587e-12,0
40,1.0,2.6046255e-11,0
41,1.0,9.919248e-12,0
42,1.0,1.8224465e-11,0
43,1.0,2.7150945e-08,0
44,1.0,2.8301244e-09,0
45,1.0,5.376823e-09,0
46,1.0,2.4195135e-10,0
47,1.0,2.3190367e-08,0
48,1.0,1.8283393e-09,0
49,1.0,1.2241221e-09,0
50,1.0,1.516567e-10,0
51,1.0,1.1076316e-12,0
52,1.0,1.2149886e-11,0
53,1.0,1.4255371e-09,0
54,1.0,1.3969945e-09,0
55,1.0,1.0261845e-09,0
56,0.9999982,1.7536743e-06,0
57,1.0,1.3274908e-08,0
58,1.0,3.834018e-09,0
59,0.99999964,3.312674e-07,0
60,1.0,8.7146276e-11,0
61,1.0,1.3222146e-08,0
62,1.0,6.667669e-11,0
63,1.0,1.8338924e-09,0
64,0.9999968,3.1994734e-06,0
65,1.0,2.2743636e-09,0
66,1.0,2.0954669e-08,0
67,1.0,5.7674576e-08,0
68,1.0,1.2927432e-09,0
69,1.0,8.823165e-09,0
70,1.0,7.126173e-10,0
71,0.99999595,4.0992472e-06,0
72,1.0,1.0821772e-09,0
73,1.0,7.4189536e-11,0
74,1.0,1.4071351e-09,0
75,0.99997985,2.0200905e-05,0
76,0.9999999,6.187695e-08,0
77,1.0,1.2651469e-10,0
78,1.0,5.0249754e-10,0
79,1.0,1.8189884e-10,0
80,1.0,1.0728036e-13,0
81,1.0,1.2249005e-08,0
82,1.0,7.925929e-10,0
83,1.0,2.0579184e-11,0
84,1.0,9.351999e-11,0
85,1.0,1.657107e-08,0
86,1.0,1.9245954e-09,0
87,1.0,3.3162893e-12,0
88,0.9999999,1.6038952e-07,0
89,1.0,4.5598223e-09,0
90,1.0,1.4757298e-11,0
91,0.9999995,5.1647913e-07,0
92,1.0,6.607442e-12,0
93,1.0,2.2474281e-10,0
94,0.9999987,1.25714e-06,0
95,1.0,1.3251686e-08,0
96,1.0,1.3209157e-09,0
97,1.0,8.978613e-11,0
98,0.9999999,8.699793e-08,0
99,0.99999917,8.6538654e-07,0
100,0.99999666,3.294475e-06,0
101,0.99999964,3.481194e-07,0
102,1.0,1.5278138e-11,0
103,1.0,1.5995799e-09,0
104,1.0,1.1097319e-11,0
105,1.0,2.3066398e-09,0
106,1.0,5.362727e-10,0
107,0.9999999,9.31971e-08,0
108,1.0,1.645007e-13,0
109,1.0,1.2296793e-10,0
110,1.0,2.1447173e-12,0
111,1.0,2.4140672e-12,0
112,1.0,8.488389e-10,0
113,1.0,2.2839947e-11,0
114,1.0,3.2136618e-09,0
115,1.0,4.5867862e-12,0
116,1.0,9.83471e-10,0
117,0.9999994,6.150321e-07,0
118,1.0,9.995612e-09,0
119,1.0,2.4199092e-11,0
120,1.0,6.962287e-11,0
121,1.0,2.79421e-08,0
122,0.99999976,2.9460588e-07,0
123,1.0,1.4292444e-10,0
124,1.0,5.4712718e-14,0
125,1.0,2.3592534e-11,0
126,1.0,3.0943893e-12,0
127,1.0,1.3251133e-15,0
128,1.0,5.437322e-08,0
129,1.0,1.5302102e-12,0
130,1.0,2.9265818e-08,0
131,0.99999964,3.3773534e-07,0
132,1.0,2.3543054e-10,0
133,0.9999999,1.3847567e-07,0
134,1.0,3.794894e-11,0
135,0.99999964,3.079165e-07,0
136,0.99999964,3.2650314e-07,0
137,0.99999917,8.73459e-07,0
138,1.0,5.972274e-09,0
139,1.0,8.371478e-11,0
140,1.0,3.2488015e-10,0
141,0.9999999,1.0167422e-07,0
142,1.0,1.0424321e-09,0
143,1.0,9.0139084e-11,0
144,1.0,2.117912e-12,0
145,0.9999949,5.168144e-06,0
146,1.0,2.2586245e-12,0
147,1.0,7.539933e-09,0
148,0.99999285,7.121571e-06,0
149,1.0,4.0483383e-10,0
150,1.0,6.5306227e-09,0
151,1.0,8.117749e-12,0
152,1.0,8.451313e-10,0
153,0.9999994,5.5500334e-07,0
154,1.0,5.3137756e-09,0
155,0.9999999,1.7536028e-07,0
156,1.0,3.3395753e-10,0
157,0.9999999,1.6158057e-07,0
158,1.0,8.246867e-10,0
159,1.0,8.9911445e-10,0
160,1.0,1.328506e-09,0
161,1.0,1.5937562e-10,0
162,1.0,3.0467238e-08,0
163,1.0,6.0785044e-10,0
164,1.0,1.9755708e-10,0
165,0.99999976,2.7665212e-07,0
166,1.0,7.764068e-09,0
167,1.0,7.1650637e-12,0
168,1.0,4.2993045e-13,0
169,1.0,1.9660143e-11,0
170,1.0,8.250753e-14,0
171,1.0,1.9459454e-09,0
172,1.0,3.623842e-11,0
173,1.0,2.4457367e-11,0
174,1.0,4.7973965e-11,0
175,1.0,2.1018814e-10,0
176,1.0,6.2406507e-09,0
177,1.0,1.3119125e-08,0
178,1.0,4.9358963e-12,0
179,1.0,5.8910356e-11,0
180,0.99996114,3.8877944e-05,0
181,1.0,4.66452e-09,0
182,1.0,4.0348636e-10,0
183,1.0,7.3557525e-09,0
184,1.0,5.5457607e-11,0
185,1.0,5.258664e-09,0
186,1.0,4.576549e-10,0
187,1.0,1.0303144e-10,0
188,1.0,4.5186042e-12,0
189,1.0,6.5358456e-12,0
190,0.9999994,5.4029937e-07,0
191,1.0,1.2149927e-08,0
192,1.0,1.2783802e-08,0
193,1.0,3.9715533e-09,0
194,0.99913365,0.00086640776,0
195,1.0,2.4438074e-10,0
196,1.0,1.7262896e-12,0
197,0.9999993,6.7294394e-07,0
198,1.0,5.5542928e-11,0
199,1.0,1.0803241e-11,0
200,0.99998426,1.578491e-05,0
201,1.0,1.271486e-12,0
202,1.0,2.6937506e-11,0
203,1.0,1.5358778e-11,0
204,1.0,6.4906296e-11,0
205,1.0,7.266534e-09,0
206,1.0,5.570988e-09,0
207,0.9999988,1.2302082e-06,0
208,0.9999994,5.702738e-07,0
209,1.0,1.9899774e-12,0
210,1.0,4.4299386e-12,0
211,1.0,3.2801709e-10,0
212,1.0,6.167974e-11,0
213,1.0,1.4214404e-12,0
214,1.0,6.262782e-09,0
215,1.0,5.143116e-11,0
216,1.0,1.3831214e-11,0
217,1.0,9.678898e-13,0
218,1.0,2.2913374e-08,0
219,1.0,6.610574e-14,0
220,1.0,2.2405905e-12,0
221,0.99999976,1.8910076e-07,0
222,1.0,2.2594216e-12,0
223,0.9999999,6.558386e-08,0
224,1.0,4.7891205e-12,0
225,1.0,2.8274992e-11,0
226,1.0,3.945793e-08,0
227,1.0,7.7602735e-10,0
228,1.0,5.0309407e-10,0
229,1.0,9.848572e-12,0
