index,non-parasite output,parasite output,label
0,1.0,4.8472444e-09,0
1,0.9999999,1.731438e-07,0
2,1.0,2.7450064e-10,0
3,1.0,5.648899e-11,0
4,1.0,4.3202196e-08,0
5,1.0,3.856975e-09,0
6,1.0,2.4048633e-11,0
7,1.0,3.8819064e-09,0
8,1.0,5.0515508e-12,0
9,1.0,2.1333814e-10,0
10,0.9999988,1.14627e-06,0
11,0.9999902,9.743956e-06,0
12,1.0,8.181654e-15,0
13,0.9999702,2.975353e-05,0
14,1.0,1.6383993e-10,0
15,1.0,1.6520686e-10,0
16,0.99998736,1.2662723e-05,0
17,0.9999472,5.281788e-05,0
18,0.9999999,7.587399e-08,0
19,0.9999993,7.742775e-07,0
20,1.0,1.00104395e-11,0
21,1.0,4.4169204e-12,0
22,1.0,3.4668939e-12,0
23,1.0,1.9988171e-13,0
24,1.0,9.565968e-10,0
25,1.0,3.724169e-12,0
26,1.0,2.423815e-13,0
27,1.0,2.8920347e-11,0
28,1.0,3.748606e-12,0
29,1.0,2.1161877e-12,0
30,1.0,1.3563255e-11,0
31,0.99999,9.963178e-06,0
32,0.9999819,1.8129507e-05,0
33,1.0,1.3024898e-09,0
34,1.0,1.7037438e-10,0
35,1.0,5.844551e-09,0
36,1.0,2.83307e-11,0
37,0.9999994,6.150092e-07,0
38,0.99997675,2.3215223e-05,0
39,1.0,3.233538e-14,0
40,1.0,4.3149856e-10,0
41,1.0,2.2312937e-08,0
42,1.0,4.3306907e-11,0
43,1.0,2.98242e-08,0
44,0.99999917,8.738106e-07,0
45,1.0,3.8522827e-10,0
46,0.99999166,8.392996e-06,0
47,0.99999905,9.448325e-07,0
48,1.0,9.8255924e-11,0
49,1.0,2.6285244e-12,0
50,1.0,5.183449e-13,0
51,1.0,1.3217909e-12,0
52,1.0,2.9445305e-13,0
53,1.0,4.1975674e-08,0
54,1.0,1.0853211e-13,0
55,1.0,1.884507e-09,0
56,0.9999999,9.157214e-08,0
57,0.9999999,7.115151e-08,0
58,0.99995184,4.8136328e-05,0
59,1.0,8.011713e-10,0
60,0.99999917,8.7754694e-07,0
