index,non-parasite output,parasite output,label
0,1.0,2.1363366e-11,0
1,1.0,2.7311045e-10,0
2,1.0,2.9126086e-09,0
3,0.9999999,6.0844144e-08,0
4,1.0,3.2046976e-11,0
5,1.0,1.1254031e-11,0
6,1.0,7.8272566e-10,0
7,1.0,6.8869183e-13,0
8,1.0,1.06725795e-10,0
9,1.0,1.6950393e-08,0
10,0.9999999,8.608628e-08,0
11,1.0,1.571541e-08,0
12,0.99999785,2.1582468e-06,0
13,1.0,1.0650222e-08,0
14,1.0,4.916515e-11,0
15,0.9999999,8.9663374e-08,0
16,1.0,8.8392606e-11,0
17,1.0,1.6072876e-08,0
18,1.0,9.3015304e-11,0
19,1.0,1.05220374e-10,0
20,1.0,1.5978053e-09,0
21,1.0,2.687122e-10,0
22,0.999985,1.5004786e-05,0
23,1.0,3.3687463e-11,0
24,1.0,3.1299668e-10,0
25,1.0,1.67269e-11,0
26,1.0,2.0672218e-08,0
27,1.0,1.5055695e-13,0
28,1.0,1.4641703e-11,0
29,1.0,2.7746422e-10,0
30,1.0,4.7922614e-13,0
31,1.0,3.5519587e-09,0
32,1.0,1.4629664e-08,0
33,1.0,2.405922e-12,0
34,1.0,3.8663645e-10,0
35,0.99999964,3.3523335e-07,0
36,1.0,2.2852737e-09,0
37,1.0,1.9175372e-10,0
38,1.0,1.6056429e-11,0
39,1.0,4.5548068e-09,0
40,1.0,9.453713e-13,0
41,1.0,1.9253939e-11,0
42,1.0,1.10322605e-10,0
43,1.0,3.8020845e-13,0
44,1.0,1.1251688e-08,0
45,1.0,1.4200445e-09,0
46,0.99999857,1.3800176e-06,0
47,1.0,4.3740928e-10,0
48,1.0,1.0205435e-09,0
49,1.0,3.0536047e-09,0
50,1.0,7.3761657e-13,0
51,1.0,1.0473633e-08,0
52,1.0,6.9955326e-09,0
53,1.0,4.0164795e-11,0
54,1.0,1.0986516e-08,0
55,1.0,1.1670812e-09,0
56,1.0,3.1868376e-11,0
57,1.0,3.4952283e-10,0
58,1.0,3.226389e-08,0
59,0.9999999,7.016221e-08,0
60,1.0,1.571376e-12,0
61,1.0,4.1087468e-08,0
62,1.0,1.9069755e-09,0
63,1.0,3.1978146e-08,0
64,1.0,3.4846911e-10,0
65,0.99999785,2.1796034e-06,0
66,1.0,2.0806631e-12,0
67,1.0,1.2371493e-09,0
68,1.0,1.2079475e-08,0
69,1.0,2.4955053e-12,0
70,0.99999976,1.8637365e-07,0
71,1.0,5.6662923e-08,0
72,1.0,2.364124e-10,0
73,1.0,3.347545e-11,0
74,1.0,7.612934e-10,0
75,1.0,1.7219538e-10,0
76,1.0,1.2714297e-09,0
77,1.0,4.624086e-11,0
78,1.0,1.0436562e-08,0
79,1.0,1.17402985e-08,0
80,1.0,7.577395e-11,0
81,0.9999999,1.2178238e-07,0
82,1.0,1.036904e-08,0
83,0.9999993,6.888543e-07,0
84,1.0,1.0079181e-11,0
85,0.9999999,7.713178e-08,0
86,1.0,2.5944205e-08,0
87,1.0,1.2900306e-10,0
88,1.0,1.2121296e-08,0
89,1.0,7.4061233e-09,0
90,1.0,1.4631004e-08,0
91,0.99999976,2.3978964e-07,0
92,1.0,1.49677e-10,0
93,1.0,3.824428e-09,0
94,1.0,9.8820896e-11,0
95,1.0,1.4586747e-09,0
96,1.0,9.2991665e-12,0
97,1.0,6.3055206e-10,0
98,1.0,3.0598373e-09,0
99,1.0,1.0656846e-08,0
100,1.0,4.5326787e-10,0
101,1.0,8.403922e-11,0
102,1.0,2.060389e-11,0
103,1.0,8.7101576e-11,0
104,1.0,7.944602e-11,0
105,1.0,5.4681215e-10,0
106,1.0,1.3085724e-10,0
107,1.0,4.7053735e-13,0
108,1.0,7.71824e-12,0
109,1.0,1.5082692e-08,0
110,0.9999999,1.2938742e-07,0
111,1.0,4.9887598e-11,0
112,1.0,2.6994638e-08,0
113,1.0,1.9272486e-08,0
114,1.0,3.2026108e-09,0
115,1.0,4.0234743e-10,0
116,1.0,4.751312e-10,0
117,1.0,2.8381125e-10,0
118,1.0,1.0724212e-09,0
119,1.0,1.42703184e-11,0
120,0.9999999,6.2292365e-08,0
121,1.0,5.80745e-12,0
122,0.9999999,9.6419775e-08,0
123,1.0,3.1989583e-10,0
124,1.0,8.265591e-10,0
125,1.0,2.417551e-08,0
126,1.0,1.4589635e-10,0
127,1.0,1.5441951e-09,0
128,1.0,2.2468891e-09,0
129,1.0,6.95929e-10,0
130,1.0,1.3246581e-08,0
131,1.0,2.1279192e-14,0
132,1.0,3.5632974e-09,0
133,1.0,4.3384143e-10,0
134,1.0,6.837985e-11,0
135,1.0,2.4969806e-09,0
136,1.0,2.4482327e-08,0
137,1.0,1.9040824e-09,0
138,0.9999999,1.4411542e-07,0
139,1.0,1.2632215e-08,0
140,1.0,3.8938433e-10,0
141,1.0,5.619339e-10,0
142,1.0,6.847199e-11,0
143,1.0,3.8329153e-12,0
144,1.0,1.7156168e-10,0
145,1.0,6.85189e-11,0
146,1.0,2.2081117e-10,0
147,1.0,2.916564e-11,0
148,1.0,1.9060456e-08,0
149,1.0,1.4852722e-10,0
150,1.0,1.8539401e-08,0
151,1.0,3.7860393e-10,0
152,1.0,1.0012035e-09,0
153,1.0,4.1280547e-12,0
154,1.0,1.5874928e-12,0
155,1.0,2.2910849e-11,0
156,1.0,1.9650717e-09,0
157,1.0,3.682143e-12,0
158,0.9999999,1.0895783e-07,0
159,1.0,2.1839636e-11,0
