index,non-parasite output,parasite output,label
0,1.0,4.3496498e-10,0
1,1.0,3.7194916e-08,0
2,1.0,1.0144351e-11,0
3,1.0,3.793365e-12,0
4,1.0,9.423748e-11,0
5,1.0,1.41245245e-11,0
6,1.0,2.382357e-10,0
7,1.0,2.5613077e-14,0
8,1.0,6.794582e-09,0
9,1.0,2.517965e-10,0
10,1.0,1.2998994e-08,0
11,0.9999999,1.2077878e-07,0
12,0.99999046,9.491199e-06,0
13,1.0,2.4359867e-12,0
14,0.9999987,1.3519467e-06,0
15,1.0,1.6157634e-10,0
16,1.0,1.32586e-10,0
17,1.0,2.6962217e-12,0
18,1.0,3.7808793e-14,0
19,1.0,1.3424781e-08,0
20,1.0,1.0394837e-09,0
21,1.0,4.8816708e-11,0
22,1.0,1.5910174e-13,0
23,1.0,4.863332e-12,0
24,0.99999976,2.4678633e-07,0
25,1.0,1.10631e-08,0
26,1.0,2.9768518e-11,0
27,0.99999976,2.4563394e-07,0
28,1.0,1.9960264e-11,0
29,1.0,6.4391886e-10,0
30,1.0,1.1799113e-12,0
31,1.0,2.8508527e-09,0
32,1.0,1.3408588e-11,0
33,1.0,6.123688e-11,0
34,1.0,8.741446e-15,0
35,1.0,4.608495e-10,0
36,1.0,1.257343e-10,0
37,1.0,7.768888e-11,0
38,1.0,8.339866e-09,0
39,1.0,2.8931035e-12,0
40,1.0,1.3038362e-10,0
41,1.0,1.5429733e-09,0
42,1.0,3.114136e-08,0
43,1.0,1.7642538e-08,0
44,1.0,1.0425792e-09,0
45,1.0,5.9972005e-10,0
46,1.0,1.023842e-10,0
47,1.0,3.7276886e-11,0
48,1.0,4.2282227e-08,0
49,1.0,7.2657715e-09,0
50,1.0,1.8762372e-12,0
51,1.0,4.2275187e-13,0
52,1.0,1.8583255e-09,0
53,1.0,1.2038056e-11,0
54,1.0,2.1456953e-12,0
55,1.0,9.994257e-13,0
56,1.0,4.7990505e-12,0
57,1.0,4.051521e-10,0
58,1.0,4.0412538e-11,0
59,1.0,6.8238457e-12,0
60,1.0,1.8355013e-10,0
61,1.0,2.2029818e-08,0
62,1.0,1.107863e-10,0
63,1.0,1.6764311e-10,0
64,1.0,1.2323413e-11,0
65,1.0,1.2335201e-10,0
66,1.0,1.696688e-09,0
67,1.0,1.5033772e-09,0
68,0.99999905,9.5222475e-07,0
69,1.0,1.7948013e-11,0
70,1.0,5.0129276e-12,0
71,1.0,1.8620171e-11,0
72,1.0,1.3240322e-11,0
73,1.0,1.5225514e-11,0
74,1.0,2.5103057e-11,0
75,1.0,2.672412e-10,0
76,0.9999987,1.354657e-06,0
77,1.0,2.0902604e-09,0
78,0.99999905,9.393018e-07,0
79,0.9999999,1.545599e-07,0
80,1.0,7.666313e-13,0
81,1.0,5.423579e-11,0
82,1.0,2.5418787e-11,0
83,1.0,8.70417e-13,0
84,0.9999999,7.328392e-08,0
85,1.0,7.2030745e-12,0
86,1.0,7.237503e-12,0
87,1.0,2.914385e-10,0
88,1.0,4.5578697e-11,0
